feature,importance
intr_Torque (Nm)__time_reversal_asymmetry_statistic__lag_3,0.019205370856938218
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",0.014766397706271679
"task_TCP_z (mm)__fft_coefficient__attr_""real""__coeff_4",0.013324276053854832
intr_Current (V)__mean_change,0.012312939602070293
"intr_Torque (Nm)__fft_aggregated__aggtype_""skew""",0.012244853566913416
"intr_Torque (Nm)__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",0.011984518667319751
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.011411944925923933
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.011125205931566467
intr_Current (V)__time_reversal_asymmetry_statistic__lag_2,0.010170119814884651
intr_Current (V)__time_reversal_asymmetry_statistic__lag_3,0.009790586613022258
"intr_Current (V)__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",0.009105615117811473
task_TCP_z (mm)__index_mass_quantile__q_0.6,0.008566876458287279
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_62",0.008449939436449035
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_73",0.008094849137575312
intr_Current (V)__autocorrelation__lag_4,0.007616667764595005
intr_Current (V)__c3__lag_3,0.0075658819171651286
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_2",0.007511799393150752
intr_Torque (Nm)__standard_deviation,0.0073838662464624566
"intr_Torque (Nm)__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.007364864391299878
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",0.007295491170295372
intr_Current (V)__lempel_ziv_complexity__bins_100,0.007228685582820805
intr_Torque (Nm)__c3__lag_2,0.0071723105062208165
intr_Current (V)__autocorrelation__lag_2,0.007056040875327202
intr_Current (V)__root_mean_square,0.00700180196154053
intr_Current (V)__variance,0.006949727358608963
intr_Current (V)__number_peaks__n_10,0.00662980217463512
"intr_Current (V)__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",0.006445322285234987
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.006413853444926501
intr_Current (V)__index_mass_quantile__q_0.3,0.006365971901342945
intr_Current (V)__variation_coefficient,0.006301558603067679
"intr_Current (V)__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""",0.006282734490013554
"intr_Torque (Nm)__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",0.006281924236456362
"intr_Current (V)__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",0.006214461736356024
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_2",0.006158758081356709
intr_Torque (Nm)__c3__lag_3,0.0061111732842101
"intr_Current (V)__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",0.006066433855602406
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",0.006020191068257557
"intr_Current (V)__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",0.005931845431447704
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",0.005873893946435444
intr_Torque (Nm)__maximum,0.005840703023524408
"intr_Torque (Nm)__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",0.005610373716327228
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0",0.005563391935308718
"intr_Current (V)__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0",0.005538710909453588
"intr_Torque (Nm)__linear_trend__attr_""intercept""",0.005507211015055745
"intr_Torque (Nm)__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",0.005446940676242114
"intr_Torque (Nm)__linear_trend__attr_""stderr""",0.005366865419022998
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_2",0.005219167580873917
"intr_Current (V)__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",0.005194858178356886
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_3",0.005166576504642371
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_3",0.005164263012345502
intr_Current (V)__autocorrelation__lag_3,0.005138318875550693
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.005118358784971115
"task_TCP_z (mm)__fft_coefficient__attr_""real""__coeff_1",0.005065909865410522
intr_Torque (Nm)__time_reversal_asymmetry_statistic__lag_1,0.005015958702390607
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_1",0.0049866054729075845
intr_Torque (Nm)__sum_values,0.004969727733142614
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_0",0.004969404255720969
task_Robot_I (A)__index_mass_quantile__q_0.3,0.0049416659979149465
intr_Current (V)__autocorrelation__lag_9,0.0048046642920480526
intr_Current (V)__standard_deviation,0.00480038354129557
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",0.004796267473460817
task_TCP_z (mm)__longest_strike_above_mean,0.0047526732453632235
intr_Torque (Nm)__quantile__q_0.8,0.004641260001538795
intr_Current (V)__autocorrelation__lag_8,0.004627103064631287
intr_Torque (Nm)__absolute_maximum,0.004599625074752306
"task_TCP_z (mm)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.00458879816676114
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2",0.004544198475366404
intr_Torque (Nm)__autocorrelation__lag_8,0.004465280163135579
intr_Current (V)__cid_ce__normalize_True,0.004443223276120517
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.004385534609130183
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.0043588075334890725
intr_Torque (Nm)__longest_strike_above_mean,0.004346758915100772
"intr_Current (V)__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",0.004282403980627543
"intr_Torque (Nm)__agg_autocorrelation__f_agg_""median""__maxlag_40",0.004216357764912517
intr_Torque (Nm)__permutation_entropy__dimension_7__tau_1,0.004196734242306005
"intr_Torque (Nm)__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",0.004188022203528054
intr_Torque (Nm)__large_standard_deviation__r_0.2,0.004182480730559827
task_TCP_z (mm)__ar_coefficient__coeff_0__k_10,0.0041449311616791225
"intr_Current (V)__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",0.004117227084306272
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_3",0.004066335029136296
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_5",0.004030763708771311
"task_TCP_y (mm)__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2",0.003955352921892223
intr_Torque (Nm)__autocorrelation__lag_5,0.00395480216585616
task_TCP_z (mm)__energy_ratio_by_chunks__num_segments_10__segment_focus_7,0.003951832781884423
"intr_Torque (Nm)__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",0.003938295566906444
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6",0.003829447085106729
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",0.003506603572714622
"intr_Torque (Nm)__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",0.0034893450474040794
task_TCP_z (mm)__mean,0.003426099875226574
intr_Current (V)__time_reversal_asymmetry_statistic__lag_1,0.0033802544645391845
