feature,importance
task_TCP_z (mm)__energy_ratio_by_chunks__num_segments_10__segment_focus_7,0.007803458697106442
intr_Current (V)__absolute_maximum,0.006824961984159604
intr_Current (V)__ar_coefficient__coeff_0__k_10,0.006602842296683755
"task_TCP_z (mm)__fft_coefficient__attr_""angle""__coeff_5",0.00642051511499191
task_Robot_I (A)__count_below_mean,0.006339181341407085
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_72",0.006177050897622977
intr_Torque (Nm)__standard_deviation,0.005925477750796722
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.005890846901274677
"intr_Current (V)__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",0.005669464078493632
"intr_Current (V)__agg_autocorrelation__f_agg_""var""__maxlag_40",0.005614614282669157
task_TCP_z (mm)__index_mass_quantile__q_0.7,0.00545365767470555
intr_Current (V)__energy_ratio_by_chunks__num_segments_10__segment_focus_0,0.005353634426095465
task_TCP_z (mm)__index_mass_quantile__q_0.6,0.005216309569872973
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_5",0.005187167643825327
intr_Torque (Nm)__time_reversal_asymmetry_statistic__lag_2,0.0051299046100680805
intr_Torque (Nm)__variance,0.00511520667176676
"intr_Torque (Nm)__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",0.005078945034242862
intr_Torque (Nm)__mean,0.005064649330231512
"task_TCP_z (mm)__fft_coefficient__attr_""abs""__coeff_5",0.00504846506791826
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_67",0.005035604437690991
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_52",0.004980910809392992
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",0.004969970210107461
"task_TCP_z (mm)__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",0.004931513746450707
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.004856331167292006
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_4",0.004797702422099174
intr_Current (V)__standard_deviation,0.004743312130204814
intr_Torque (Nm)__ar_coefficient__coeff_0__k_10,0.004732524800149635
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_18",0.004679825687277026
task_TCP_y (mm)__longest_strike_above_mean,0.004655602742540674
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_12",0.004626127008331977
"task_Robot_I (A)__fft_coefficient__attr_""real""__coeff_2",0.0045943661168310855
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.00450979310271572
intr_Current (V)__max_langevin_fixed_point__m_3__r_30,0.004409698666563477
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_8",0.004407222643434254
intr_Current (V)__cid_ce__normalize_False,0.004385597506075358
intr_Current (V)__maximum,0.004360674931157461
intr_Current (V)__c3__lag_2,0.004339895152711919
intr_Current (V)__lempel_ziv_complexity__bins_2,0.0042764757978185335
intr_Torque (Nm)__c3__lag_3,0.004258846113086321
"task_Robot_I (A)__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",0.0042523272025831674
task_TCP_z (mm)__abs_energy,0.004220778574453659
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.004203897300683344
"intr_Current (V)__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0",0.004148656605217402
intr_Current (V)__longest_strike_below_mean,0.0040676176436460175
intr_Torque (Nm)__count_above_mean,0.004045232246501288
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",0.00401710505433458
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.004002269074851405
intr_Current (V)__skewness,0.00397665893621493
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_3",0.003939644300550845
"task_TCP_z (mm)__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",0.00391231241686745
intr_Torque (Nm)__number_peaks__n_5,0.0038673407158055493
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_74",0.0038398841853973546
intr_Current (V)__autocorrelation__lag_1,0.003835469111140799
"intr_Current (V)__fft_aggregated__aggtype_""centroid""",0.0037949654289241228
"intr_Current (V)__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",0.0037653967214232066
task_TCP_z (mm)__c3__lag_3,0.0037460505185124217
"intr_Torque (Nm)__fft_aggregated__aggtype_""centroid""",0.003716679395014188
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.0036690777437801505
intr_Torque (Nm)__c3__lag_2,0.00363533647747686
"task_TCP_z (mm)__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",0.0036040113533357654
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_4",0.00357422975081886
intr_Torque (Nm)__range_count__max_1__min_-1,0.00351793701881437
task_TCP_z (mm)__quantile__q_0.7,0.003267683454550825
"task_TCP_y (mm)__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",0.003243962701711978
"task_TCP_z (mm)__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",0.003220485619922901
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",0.003204761047640074
intr_Torque (Nm)__partial_autocorrelation__lag_1,0.00319207051333815
"task_Robot_I (A)__fft_coefficient__attr_""real""__coeff_4",0.003132290212056376
intr_Current (V)__autocorrelation__lag_5,0.003117268995956213
intr_Torque (Nm)__absolute_maximum,0.0031063459083645493
task_TCP_z (mm)__energy_ratio_by_chunks__num_segments_10__segment_focus_8,0.0030941863324374136
"intr_Current (V)__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",0.0030279879259758357
"task_TCP_z (mm)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",0.0029876204493266547
task_TCP_y (mm)__lempel_ziv_complexity__bins_10,0.002956735559618568
"task_TCP_z (mm)__fft_coefficient__attr_""real""__coeff_4",0.0029402962753382242
"intr_Current (V)__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",0.002913358639544558
intr_Torque (Nm)__c3__lag_1,0.0028603926826460987
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_0",0.002854145042226631
audio_Amplitude__number_cwt_peaks__n_1,0.002851133045678557
intr_Torque (Nm)__autocorrelation__lag_9,0.0028307551000124704
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_86",0.002830149252440625
"task_TCP_z (mm)__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.0028291379880169103
"task_TCP_z (mm)__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.00279962292649682
"intr_Torque (Nm)__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",0.0027915329966018646
"task_TCP_z (mm)__fft_coefficient__attr_""real""__coeff_1",0.0027902597286228055
intr_Torque (Nm)__time_reversal_asymmetry_statistic__lag_1,0.0027881170554859835
task_TCP_z (mm)__energy_ratio_by_chunks__num_segments_10__segment_focus_6,0.002778355142812384
"task_Robot_I (A)__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",0.0027537527392437746
"intr_Current (V)__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",0.002752087715695934
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_63",0.002748386534241763
"intr_Torque (Nm)__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",0.0027413841447957855
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.002739446400161814
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_7",0.0027387233418176035
"intr_Current (V)__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",0.0027381126721526027
"task_TCP_z (mm)__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",0.0027352125785087274
intr_Current (V)__mean,0.0027302747135921936
"task_TCP_y (mm)__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",0.0027263220578436485
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_60",0.0027202299241317644
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_1",0.002704638385913698
task_Robot_I (A)__energy_ratio_by_chunks__num_segments_10__segment_focus_9,0.0026981142080537467
intr_Current (V)__energy_ratio_by_chunks__num_segments_10__segment_focus_2,0.002688159371121147
intr_Current (V)__autocorrelation__lag_7,0.0026770735977284725
"intr_Current (V)__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0",0.002665508023885624
"intr_Current (V)__linear_trend__attr_""rvalue""",0.0026640395611844518
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_2",0.0026633912202899067
intr_Current (V)__c3__lag_3,0.002660387733545289
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_69",0.0026593420054150632
"task_TCP_y (mm)__fft_coefficient__attr_""imag""__coeff_6",0.0026493310395010925
intr_Current (V)__mean_change,0.002640141003721951
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_15",0.002637659167337752
"intr_Torque (Nm)__linear_trend__attr_""intercept""",0.0026256091310423533
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.0026213519734968166
"task_Robot_I (A)__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",0.002613806984096852
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_71",0.0026106609895730783
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_0",0.002602389385865555
task_TCP_z (mm)__number_cwt_peaks__n_5,0.0025998605281594422
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.002592789941206298
intr_Current (V)__number_cwt_peaks__n_1,0.0025810567888753647
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_98",0.0025792467809213665
"intr_Torque (Nm)__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",0.0025789472230481796
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_5",0.00257690275205216
"intr_Current (V)__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",0.002575567240647263
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_17",0.0025481706507096374
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_66",0.0025449550650722044
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",0.0025417151240746953
"intr_Torque (Nm)__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",0.0025378405622916195
"intr_Torque (Nm)__fft_aggregated__aggtype_""skew""",0.00253740487193896
"intr_Torque (Nm)__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",0.0025280657078019554
task_TCP_z (mm)__binned_entropy__max_bins_10,0.002525307199682251
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",0.0025065586930102207
intr_Torque (Nm)__last_location_of_maximum,0.002497765504741853
"intr_Current (V)__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",0.002482566981540911
intr_Torque (Nm)__energy_ratio_by_chunks__num_segments_10__segment_focus_8,0.002478728346691014
intr_Current (V)__partial_autocorrelation__lag_1,0.002478701144817229
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_68",0.002478485350005597
"task_Robot_I (A)__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",0.0024710262659781317
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_70",0.0024695170856270715
intr_Torque (Nm)__autocorrelation__lag_7,0.002446752767080068
task_TCP_z (mm)__index_mass_quantile__q_0.2,0.0024457755134334024
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_62",0.0024428740444809743
"intr_Current (V)__linear_trend__attr_""intercept""",0.002442437951030237
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_60",0.0024382520738635075
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_58",0.0024381080172387075
"intr_Torque (Nm)__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var""",0.0024372151359013947
intr_Torque (Nm)__mean_n_absolute_max__number_of_maxima_7,0.0024305837808656135
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_99",0.0024299004451171754
intr_Torque (Nm)__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.0024236723961454936
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_12",0.002420171228940375
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_1",0.0024163530459002046
"intr_Current (V)__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",0.0024034102384402705
"task_Robot_I (A)__fft_coefficient__attr_""imag""__coeff_5",0.002385549406549985
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_5",0.0023842450398304203
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_16",0.0023767880223247127
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2",0.002375006119417179
intr_Current (V)__root_mean_square,0.002370024299077251
"intr_Current (V)__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",0.0023605536812671747
"task_Robot_I (A)__fft_coefficient__attr_""angle""__coeff_6",0.00235736364810918
intr_Current (V)__median,0.002353656742400451
intr_Torque (Nm)__friedrich_coefficients__coeff_2__m_3__r_30,0.0023533719446964525
intr_Torque (Nm)__autocorrelation__lag_3,0.0023494204903716683
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_3",0.0023159330258038994
"intr_Current (V)__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",0.0023042737657730664
intr_Current (V)__time_reversal_asymmetry_statistic__lag_2,0.0023029478019347613
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_9",0.0023027197358772788
task_TCP_z (mm)__variation_coefficient,0.0022985965600919784
intr_Torque (Nm)__lempel_ziv_complexity__bins_5,0.0022885658188668734
"task_Robot_I (A)__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",0.002276151669570228
intr_Torque (Nm)__index_mass_quantile__q_0.2,0.0022725651796318535
"task_TCP_z (mm)__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",0.00227029363375733
"task_TCP_z (mm)__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",0.0022611090016680167
"task_Robot_I (A)__linear_trend__attr_""slope""",0.0022585252558049397
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_95",0.002240955675128093
"task_Robot_I (A)__fft_coefficient__attr_""angle""__coeff_1",0.002240653000103728
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_84",0.002233486415955654
"task_TCP_z (mm)__linear_trend__attr_""stderr""",0.0022310665057207915
"task_TCP_z (mm)__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",0.0022301750340793206
"task_Robot_I (A)__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",0.0022267791121833892
intr_Torque (Nm)__energy_ratio_by_chunks__num_segments_10__segment_focus_9,0.002222716817876004
task_Robot_I (A)__index_mass_quantile__q_0.2,0.0022156116521376903
intr_Current (V)__count_below_mean,0.0022070847280158197
audio_Amplitude__number_peaks__n_50,0.002199456432504308
intr_Torque (Nm)__length,0.0021702445469039596
intr_Torque (Nm)__quantile__q_0.3,0.002126947908448176
"task_TCP_z (mm)__fft_coefficient__attr_""angle""__coeff_2",0.0021158189792675254
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_16",0.0021148942601021837
