feature,importance
intr_Current (V)__standard_deviation,0.013669916444328323
intr_Torque (Nm)__cid_ce__normalize_True,0.01330816519932777
intr_Current (V)__autocorrelation__lag_5,0.012523941277141919
intr_Torque (Nm)__time_reversal_asymmetry_statistic__lag_2,0.012361992331394149
"intr_Torque (Nm)__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",0.0122084686170955
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_7",0.01181136704448778
"intr_Current (V)__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",0.01176685360676626
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_1",0.011521728100253772
intr_Current (V)__index_mass_quantile__q_0.9,0.011235750910200635
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_65",0.010806357459550582
intr_Current (V)__c3__lag_2,0.010411917554476052
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_3",0.00982493647377413
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_7",0.009736832877362489
intr_Torque (Nm)__autocorrelation__lag_6,0.009620638529335826
intr_Torque (Nm)__variance,0.009255430327718157
intr_Current (V)__mean_change,0.008953016004279597
intr_Torque (Nm)__autocorrelation__lag_3,0.008932256782157248
intr_Torque (Nm)__mean,0.00872442505364467
intr_Torque (Nm)__mean_change,0.008285399463543928
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",0.00820204973875976
"intr_Torque (Nm)__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",0.007993835443565545
intr_Torque (Nm)__c3__lag_3,0.007967386025783093
"intr_Torque (Nm)__agg_autocorrelation__f_agg_""median""__maxlag_40",0.0075529462095373125
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_0",0.0074757402980231225
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_1",0.007376023116155099
intr_Torque (Nm)__longest_strike_above_mean,0.007314840860454488
intr_Torque (Nm)__time_reversal_asymmetry_statistic__lag_3,0.007225224086719293
"intr_Torque (Nm)__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.007166206517323992
intr_Current (V)__root_mean_square,0.007145597995131386
"intr_Torque (Nm)__fft_aggregated__aggtype_""skew""",0.006868650113045649
intr_Current (V)__c3__lag_1,0.006471416674703191
intr_Torque (Nm)__c3__lag_1,0.006427308365352067
intr_Current (V)__maximum,0.006204317663768654
"intr_Torque (Nm)__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""",0.0061424392456840525
intr_Torque (Nm)__maximum,0.006092504113295066
intr_Current (V)__energy_ratio_by_chunks__num_segments_10__segment_focus_2,0.006032828055103429
intr_Current (V)__cid_ce__normalize_False,0.00591193256181353
intr_Current (V)__quantile__q_0.9,0.005891047983777444
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_69",0.00587730389464968
intr_Torque (Nm)__permutation_entropy__dimension_6__tau_1,0.005839813810755639
"intr_Torque (Nm)__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",0.005816273901770818
intr_Current (V)__index_mass_quantile__q_0.3,0.0057116098961473545
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_2",0.0056475259188404495
intr_Current (V)__absolute_maximum,0.005615819039635855
intr_Torque (Nm)__time_reversal_asymmetry_statistic__lag_1,0.005585199729563784
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_79",0.0055827399743348174
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_67",0.005557698784506539
intr_Current (V)__variance,0.005519802582268586
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_4",0.005466941051412361
intr_Torque (Nm)__mean_n_absolute_max__number_of_maxima_7,0.005457869581161198
intr_Torque (Nm)__sum_values,0.005450625301195536
intr_Current (V)__mean,0.0054496241112230535
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_71",0.005425961783098656
"intr_Torque (Nm)__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",0.005380870409746516
"intr_Torque (Nm)__linear_trend__attr_""rvalue""",0.005307489843464452
intr_Current (V)__benford_correlation,0.005278472217191369
"intr_Current (V)__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.005249064903942707
"intr_Torque (Nm)__linear_trend__attr_""intercept""",0.005192016280128856
intr_Current (V)__autocorrelation__lag_2,0.005182765554471915
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_74",0.005160750982952501
"intr_Torque (Nm)__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",0.005153535683663291
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_0",0.005150118125927023
intr_Torque (Nm)__variation_coefficient,0.005125067664198036
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_5",0.00510583362449436
intr_Current (V)__friedrich_coefficients__coeff_2__m_3__r_30,0.004987539151066995
intr_Current (V)__friedrich_coefficients__coeff_3__m_3__r_30,0.00491026045809381
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_2",0.0048484534460214316
intr_Torque (Nm)__number_peaks__n_3,0.004802640045902428
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_15",0.00456698169684695
intr_Current (V)__friedrich_coefficients__coeff_1__m_3__r_30,0.004532296192927821
