feature,importance
intr_Torque (Nm)__abs_energy,0.009798948136686823
"intr_Current (V)__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",0.0089823854377711
intr_Torque (Nm)__c3__lag_3,0.00886119692018818
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.008495795045169691
intr_Torque (Nm)__mean_n_absolute_max__number_of_maxima_7,0.008475186849534789
intr_Current (V)__longest_strike_above_mean,0.00825621783080901
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_65",0.007835569650702274
"intr_Current (V)__agg_autocorrelation__f_agg_""median""__maxlag_40",0.007386563751539574
intr_Torque (Nm)__index_mass_quantile__q_0.3,0.006888442300729668
intr_Torque (Nm)__autocorrelation__lag_3,0.00673824881218853
task_Robot_I (A)__energy_ratio_by_chunks__num_segments_10__segment_focus_6,0.006720389313758466
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",0.006532088472518089
intr_Torque (Nm)__time_reversal_asymmetry_statistic__lag_3,0.006393267243020581
"intr_Torque (Nm)__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""",0.006304023476148208
"task_Robot_I (A)__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",0.00607146922178795
"intr_Torque (Nm)__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.006063207292279351
intr_Torque (Nm)__number_crossing_m__m_1,0.006054256086384661
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_2",0.00593604432507016
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_74",0.005831637958358607
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_1",0.005813844657972512
"intr_Current (V)__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",0.0056630516522004634
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_3",0.0056208887261680225
"intr_Current (V)__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",0.0056181886045732635
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_68",0.005499726275309667
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_1",0.0054975704120579574
intr_Current (V)__friedrich_coefficients__coeff_2__m_3__r_30,0.005459587632250324
intr_Current (V)__time_reversal_asymmetry_statistic__lag_1,0.005433389372507899
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",0.005355888995636904
intr_Current (V)__root_mean_square,0.005333394007885345
intr_Torque (Nm)__variance,0.005277486238907747
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2",0.005097744405966682
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_4",0.005077535719636861
intr_Torque (Nm)__autocorrelation__lag_4,0.005000798996260325
"intr_Torque (Nm)__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",0.004958087062614161
intr_Current (V)__energy_ratio_by_chunks__num_segments_10__segment_focus_5,0.004951289200804125
intr_Current (V)__autocorrelation__lag_2,0.004910628357006191
intr_Torque (Nm)__count_above_mean,0.004909730937934006
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_0",0.004887920925306093
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0",0.0048548216007311485
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.004713119741256317
"intr_Torque (Nm)__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",0.004549116604733105
"intr_Torque (Nm)__fft_aggregated__aggtype_""skew""",0.0044942260660880175
"intr_Current (V)__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",0.004377066622085136
intr_Current (V)__count_above_mean,0.004375378471762336
"task_Robot_I (A)__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",0.004333187051063229
"task_Robot_I (A)__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",0.00429453496260659
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.004244039081986525
intr_Current (V)__energy_ratio_by_chunks__num_segments_10__segment_focus_7,0.0042281035939245514
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",0.004205894271113227
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_71",0.0041812681037276455
"audio_Amplitude__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.004117094389213788
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_17",0.004059414348757533
intr_Torque (Nm)__longest_strike_above_mean,0.0039939396086876525
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_6",0.003913668026714854
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",0.0038246074973936808
"intr_Torque (Nm)__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",0.0037683299892201693
intr_Torque (Nm)__kurtosis,0.003767396632475305
