feature,importance
intr_Torque (Nm)__quantile__q_0.8,0.010076814735004018
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",0.007969901879415129
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.006857380105328805
intr_Current (V)__autocorrelation__lag_9,0.006802257069186781
intr_Torque (Nm)__autocorrelation__lag_8,0.0065627209059071975
task_Robot_I (A)__number_cwt_peaks__n_5,0.0063804562773423
intr_Torque (Nm)__cid_ce__normalize_True,0.006369997191385807
intr_Torque (Nm)__energy_ratio_by_chunks__num_segments_10__segment_focus_5,0.006369208516104448
intr_Torque (Nm)__autocorrelation__lag_9,0.006337728679567069
"intr_Current (V)__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""",0.005875401899179627
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.00571426327381532
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_9",0.005637130117193442
intr_Torque (Nm)__last_location_of_maximum,0.005516170344032596
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_70",0.00546422467339518
intr_Torque (Nm)__number_crossing_m__m_1,0.005390030794619998
"intr_Current (V)__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",0.005316044175202337
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",0.005309437234902238
"intr_Current (V)__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0",0.005275642191450466
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_8",0.005269268821449338
intr_Current (V)__maximum,0.005257728601241507
intr_Current (V)__ratio_beyond_r_sigma__r_2.5,0.005102211471134057
intr_Current (V)__variance,0.005012839865969112
"intr_Current (V)__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",0.005009604141348172
intr_Current (V)__energy_ratio_by_chunks__num_segments_10__segment_focus_0,0.005005098359138078
intr_Torque (Nm)__quantile__q_0.7,0.004944463679738941
intr_Current (V)__autocorrelation__lag_3,0.004941993924340353
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_67",0.004928093270673083
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.004890355911239697
intr_Current (V)__standard_deviation,0.004825951890618723
intr_Current (V)__index_mass_quantile__q_0.1,0.004818619711242952
intr_Torque (Nm)__variance,0.004754097296968906
"intr_Current (V)__agg_autocorrelation__f_agg_""var""__maxlag_40",0.004743208208357192
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.004668145343090568
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_59",0.004643598452068942
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_78",0.004582036578522179
intr_Current (V)__energy_ratio_by_chunks__num_segments_10__segment_focus_1,0.0045166425001774745
intr_Current (V)__quantile__q_0.9,0.004514822689227671
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",0.004490472282644745
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_4",0.004442963665640428
"intr_Torque (Nm)__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",0.0043750335817597874
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.004360539436088311
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_9",0.004356664696454927
intr_Current (V)__mean_n_absolute_max__number_of_maxima_7,0.0043418171382428325
intr_Torque (Nm)__quantile__q_0.6,0.004341056801858658
"task_Robot_I (A)__fft_coefficient__attr_""imag""__coeff_1",0.0042870173403116
intr_Current (V)__c3__lag_1,0.00428123126334696
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_5",0.004235690440464575
intr_Current (V)__friedrich_coefficients__coeff_2__m_3__r_30,0.0042009793845201
"intr_Current (V)__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""",0.004186132175484526
"intr_Torque (Nm)__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",0.004167285360798903
intr_Current (V)__c3__lag_2,0.004125300620489352
"intr_Torque (Nm)__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",0.004063285862482477
"intr_Current (V)__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",0.004052741962825541
intr_Torque (Nm)__sum_values,0.004010952512841229
intr_Torque (Nm)__longest_strike_above_mean,0.00392255411884381
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_12",0.0036812845771294783
intr_Current (V)__absolute_maximum,0.003668134763863755
intr_Current (V)__spkt_welch_density__coeff_2,0.0036599065626557715
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_3",0.003651868525008313
"intr_Current (V)__agg_autocorrelation__f_agg_""median""__maxlag_40",0.0036021732723480948
