feature,importance
intr_Torque (Nm)__mean_n_absolute_max__number_of_maxima_7,0.04030958250346721
"intr_Torque (Nm)__fft_aggregated__aggtype_""variance""",0.03217411348654588
intr_Torque (Nm)__fourier_entropy__bins_100,0.026113465023872396
intr_Current (V)__maximum,0.02452410054186067
intr_Current (V)__variance,0.02377656817652125
intr_Current (V)__mean_n_absolute_max__number_of_maxima_7,0.023405421305333022
intr_Current (V)__autocorrelation__lag_7,0.022480237266332016
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_8",0.01780014517722429
intr_Current (V)__friedrich_coefficients__coeff_2__m_3__r_30,0.017488807371672903
"intr_Torque (Nm)__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.01715202802538609
intr_Torque (Nm)__autocorrelation__lag_3,0.017079702758687424
intr_Current (V)__c3__lag_2,0.01705453522643733
intr_Torque (Nm)__standard_deviation,0.016981433367211474
intr_Torque (Nm)__autocorrelation__lag_5,0.01687479876759301
intr_Torque (Nm)__mean,0.01670183049434624
intr_Torque (Nm)__c3__lag_2,0.016392897786452965
"intr_Torque (Nm)__linear_trend__attr_""stderr""",0.01618705104449336
intr_Current (V)__standard_deviation,0.015578557357666762
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_4",0.014760069378568002
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_1",0.014600533146357283
intr_Current (V)__time_reversal_asymmetry_statistic__lag_2,0.014398005444287956
intr_Torque (Nm)__quantile__q_0.4,0.009253078586233381
intr_Torque (Nm)__spkt_welch_density__coeff_2,0.00900768848802332
"intr_Torque (Nm)__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",0.008949391085139242
intr_Torque (Nm)__time_reversal_asymmetry_statistic__lag_2,0.008901187219914791
intr_Torque (Nm)__autocorrelation__lag_4,0.008887643476457223
intr_Current (V)__time_reversal_asymmetry_statistic__lag_3,0.008828898614220352
"intr_Torque (Nm)__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",0.008767611431018157
"intr_Current (V)__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",0.008681069873940954
intr_Torque (Nm)__variance,0.008668882980070791
"intr_Torque (Nm)__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",0.008648661475160475
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.008630492878775533
intr_Current (V)__large_standard_deviation__r_0.1,0.008579168211733178
intr_Torque (Nm)__c3__lag_1,0.008556027517903003
"intr_Torque (Nm)__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""",0.008542726482056123
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.008514279449452305
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.008479188287243424
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_5",0.008468156676295096
"intr_Current (V)__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.008428028296848408
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_6",0.008400186890044872
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.008378649875059247
intr_Current (V)__mean,0.008322718425878693
"intr_Current (V)__fft_aggregated__aggtype_""skew""",0.008314801879412127
"intr_Torque (Nm)__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",0.008221663464947035
intr_Torque (Nm)__variation_coefficient,0.008220249095521513
"intr_Current (V)__fft_aggregated__aggtype_""centroid""",0.008213835567158241
"intr_Torque (Nm)__linear_trend__attr_""intercept""",0.008167238288988726
"intr_Torque (Nm)__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.008166084690368622
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",0.008153498581391914
intr_Torque (Nm)__partial_autocorrelation__lag_1,0.00809468970823924
intr_Current (V)__absolute_maximum,0.00801667339876434
intr_Current (V)__autocorrelation__lag_9,0.007858677355454731
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_1",0.007840220175257798
intr_Current (V)__abs_energy,0.007803620223482479
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.007802580811102179
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_0",0.0077949074622127665
"intr_Current (V)__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.0077597013466496325
task_Robot_I (A)__index_mass_quantile__q_0.4,0.00775626277572585
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_12",0.007656700729518496
intr_Torque (Nm)__time_reversal_asymmetry_statistic__lag_1,0.007627167830820726
intr_Torque (Nm)__energy_ratio_by_chunks__num_segments_10__segment_focus_0,0.007535684703488758
