feature,importance_mean,importance_std
"intr_Torque (Nm)__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_8",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""angle""__coeff_77",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_62",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_97",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_40",0.0,0.0
"intr_Current (V)__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_31",0.0,0.0
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.0,0.0
task_Robot_I (A)__autocorrelation__lag_8,0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_29",0.0,0.0
"intr_Torque (Nm)__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_14",0.0,0.0
intr_Current (V)__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_90",0.0,0.0
intr_Current (V)__mean,0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_90",0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""abs""__coeff_25",0.0,0.0
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",0.0,0.0
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.0,0.0
intr_Current (V)__count_below__t_0,0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_28",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_31",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_34",0.0,0.0
task_Robot_I (A)__index_mass_quantile__q_0.2,0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_55",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_35",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""angle""__coeff_72",0.0,0.0
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_50",0.0,0.0
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""abs""__coeff_6",0.0,0.0
"intr_Torque (Nm)__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_14",0.0,0.0
task_Robot_I (A)__autocorrelation__lag_6,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_52",0.0,0.0
"task_Robot_I (A)__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_96",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""angle""__coeff_22",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_35",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""imag""__coeff_41",0.0,0.0
intr_Torque (Nm)__large_standard_deviation__r_0.15000000000000002,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""angle""__coeff_23",0.0,0.0
"task_Robot_I (A)__fft_coefficient__attr_""real""__coeff_13",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_29",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_14",0.0,0.0
"intr_Torque (Nm)__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",0.0,0.0
"task_Robot_I (A)__fft_aggregated__aggtype_""variance""",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_10",0.0,0.0
intr_Torque (Nm)__ar_coefficient__coeff_1__k_10,0.0,0.0
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""real""__coeff_82",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""real""__coeff_89",0.0,0.0
task_Robot_I (A)__autocorrelation__lag_2,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""abs""__coeff_30",0.0,0.0
"intr_Current (V)__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_91",0.0,0.0
task_Robot_I (A)__autocorrelation__lag_7,0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_34",0.0,0.0
"intr_Current (V)__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",0.0,0.0
"task_Robot_I (A)__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_54",0.0,0.0
"intr_Torque (Nm)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.0,0.0
"intr_Torque (Nm)__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",0.0,0.0
intr_Current (V)__large_standard_deviation__r_0.1,0.0,0.0
intr_Torque (Nm)__energy_ratio_by_chunks__num_segments_10__segment_focus_7,0.0,0.0
"task_Robot_I (A)__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""angle""__coeff_98",0.0,0.0
"intr_Current (V)__fft_coefficient__attr_""abs""__coeff_12",0.0,0.0
"intr_Torque (Nm)__fft_coefficient__attr_""imag""__coeff_53",0.0,0.0
