Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
0.0,-121.2,-750.1,177.7,1.234,1.181,-1.206,1.232
4.004,-121.2,-750.1,177.7,1.234,1.181,-1.206,1.232
8.002,-121.2,-750.1,177.7,1.234,1.181,-1.206,1.232
9.998999999999999,-121.2,-750.1,177.7,1.234,1.181,-1.206,1.232
13.998999999999999,-121.2,-750.1,177.7,1.234,1.181,-1.206,1.126
16.001,-121.2,-750.1,177.7,1.234,1.181,-1.206,1.126
20.0,-121.2,-750.1,177.7,1.234,1.181,-1.206,1.126
24.002,-121.2,-750.1,177.7,1.234,1.181,-1.206,1.126
26.0,-121.2,-750.1,177.7,1.234,1.181,-1.206,1.338
28.001,-121.2,-750.1,177.7,1.234,1.181,-1.206,1.338
30.0,-121.2,-750.1,177.7,1.234,1.181,-1.206,1.338
32.0,-121.2,-750.1,177.7,1.234,1.181,-1.206,1.338
34.0,-121.2,-750.1,177.7,1.234,1.181,-1.206,1.338
36.0,-121.2,-750.1,177.7,1.234,1.181,-1.206,1.338
39.999,-121.2,-750.1,177.7,1.234,1.181,-1.206,0.95
41.999,-121.2,-750.1,177.7,1.234,1.181,-1.206,0.95
46.004000000000005,-121.2,-750.1,177.7,1.234,1.181,-1.206,0.95
48.001000000000005,-121.2,-750.1,177.7,1.234,1.181,-1.206,0.95
50.001999999999995,-121.2,-750.1,177.7,1.234,1.181,-1.206,0.95
52.003,-121.2,-750.1,177.7,1.234,1.181,-1.205,0.809
54.003,-121.2,-750.1,177.7,1.234,1.181,-1.205,0.809
56.002,-121.2,-750.1,177.7,1.234,1.181,-1.205,0.809
58.003,-121.2,-750.1,177.7,1.234,1.181,-1.205,0.809
62.003,-121.2,-750.1,177.7,1.234,1.181,-1.205,0.809
66.00200000000001,-121.2,-749.8,177.2,1.234,1.181,-1.205,1.268
70.0,-121.2,-749.8,177.2,1.234,1.181,-1.205,1.268
72.0,-121.2,-749.8,177.2,1.234,1.181,-1.205,1.268
74.00099999999999,-121.2,-749.8,177.2,1.234,1.181,-1.205,1.268
77.006,-121.2,-749.8,177.2,1.234,1.181,-1.205,1.268
79.003,-121.2,-749.8,177.2,1.234,1.181,-1.205,1.268
81.00200000000001,-121.2,-749.8,177.1,1.234,1.181,-1.205,1.444
85.003,-121.2,-749.8,177.1,1.234,1.181,-1.205,1.444
89.003,-121.2,-749.8,177.1,1.234,1.181,-1.205,1.444
91.002,-121.2,-749.8,177.1,1.234,1.181,-1.205,1.444
95.00200000000001,-121.2,-750.4,177.3,1.233,1.18,-1.206,1.267
97.004,-121.2,-750.4,177.3,1.233,1.18,-1.206,1.267
99.003,-121.2,-750.4,177.3,1.233,1.18,-1.206,1.267
101.003,-121.2,-750.4,177.3,1.233,1.18,-1.206,1.267
103.002,-121.2,-750.4,177.3,1.233,1.18,-1.206,1.267
105.003,-121.2,-750.4,177.3,1.233,1.18,-1.206,1.267
107.004,-121.2,-750.1,176.9,1.234,1.181,-1.205,1.302
109.004,-121.2,-750.1,176.9,1.234,1.181,-1.205,1.302
113.001,-121.2,-750.1,176.9,1.234,1.181,-1.205,1.302
117.003,-121.2,-750.1,176.9,1.234,1.181,-1.205,1.302
119.003,-121.2,-750.1,176.9,1.234,1.181,-1.205,1.302
123.00500000000001,-121.2,-749.9,176.9,1.234,1.181,-1.205,1.584
125.00500000000001,-121.2,-749.9,176.9,1.234,1.181,-1.205,1.584
127.00200000000001,-121.2,-749.9,176.9,1.234,1.181,-1.205,1.584
129.002,-121.2,-749.9,176.9,1.234,1.181,-1.205,1.584
131.0,-121.2,-749.9,176.9,1.234,1.181,-1.205,1.584
133.0,-121.2,-749.9,176.9,1.234,1.181,-1.205,1.584
137.00300000000001,-121.2,-750.4,177.2,1.233,1.181,-1.206,1.443
141.00199999999998,-121.2,-750.4,177.2,1.233,1.181,-1.206,1.443
144.999,-121.2,-750.4,177.2,1.233,1.181,-1.206,1.443
147.0,-121.2,-750.4,177.2,1.233,1.181,-1.206,1.443
151.001,-121.4,-750.5,177.4,1.233,1.181,-1.206,1.373
153.001,-121.4,-750.5,177.4,1.233,1.181,-1.206,1.373
155.0,-121.4,-750.5,177.4,1.233,1.181,-1.206,1.373
159.0,-121.4,-750.5,177.4,1.233,1.181,-1.206,1.373
162.999,-121.4,-750.7,177.9,1.233,1.18,-1.206,1.408
165.0,-121.4,-750.7,177.9,1.233,1.18,-1.206,1.408
166.999,-121.4,-750.7,177.9,1.233,1.18,-1.206,1.408
168.99900000000002,-121.4,-750.7,177.9,1.233,1.18,-1.206,1.408
170.99900000000002,-121.4,-750.7,177.9,1.233,1.18,-1.206,1.408
173.0,-121.4,-750.7,177.9,1.233,1.18,-1.206,1.408
175.0,-121.4,-750.7,177.9,1.233,1.18,-1.206,1.408
179.001,-121.4,-751.0,178.5,1.232,1.179,-1.207,1.232
182.999,-121.4,-751.0,178.5,1.232,1.179,-1.207,1.232
187.001,-121.4,-751.0,178.5,1.232,1.179,-1.207,1.232
189.0,-121.4,-751.2,178.7,1.232,1.179,-1.207,1.056
191.0,-121.4,-751.2,178.7,1.232,1.179,-1.207,1.056
192.999,-121.4,-751.2,178.7,1.232,1.179,-1.207,1.056
194.999,-121.4,-751.2,178.7,1.232,1.179,-1.207,1.056
197.0,-121.4,-751.2,178.7,1.232,1.179,-1.207,1.056
198.999,-121.4,-751.2,178.7,1.232,1.179,-1.207,1.056
201.0,-121.4,-751.1,178.9,1.232,1.179,-1.207,1.091
