Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
0.0,-161.2,-803.4,178.2,1.232,1.179,-1.207,1.302
3.9979999999999998,-161.2,-803.4,178.2,1.232,1.179,-1.207,1.302
5.9959999999999996,-161.2,-803.6,178.6,1.232,1.179,-1.207,1.161
7.9959999999999996,-161.2,-803.6,178.6,1.232,1.179,-1.207,1.161
11.997,-161.2,-803.6,178.6,1.232,1.179,-1.207,1.161
14.007,-161.2,-803.6,178.6,1.232,1.179,-1.207,1.161
17.996000000000002,-161.2,-803.6,178.6,1.232,1.179,-1.207,1.161
22.003,-161.2,-803.5,178.6,1.232,1.179,-1.207,1.162
24.002,-161.2,-803.5,178.6,1.232,1.179,-1.207,1.162
27.996,-161.2,-803.5,178.6,1.232,1.179,-1.207,1.162
29.998,-161.2,-803.5,178.6,1.232,1.179,-1.207,1.162
33.995,-161.2,-803.5,178.8,1.232,1.179,-1.207,1.162
35.996,-161.2,-803.5,178.8,1.232,1.179,-1.207,1.162
40.003,-161.2,-803.5,178.8,1.232,1.179,-1.207,1.162
44.002,-161.2,-803.5,178.8,1.232,1.179,-1.207,1.162
46.002,-161.2,-803.5,178.8,1.232,1.179,-1.207,1.162
48.001000000000005,-161.2,-803.4,179.0,1.232,1.179,-1.207,1.091
49.996,-161.2,-803.4,179.0,1.232,1.179,-1.207,1.091
52.003,-161.2,-803.4,179.0,1.232,1.179,-1.207,1.091
54.001,-161.2,-803.4,179.0,1.232,1.179,-1.207,1.091
55.997,-161.2,-803.4,179.0,1.232,1.179,-1.207,1.091
59.998999999999995,-161.2,-803.3,179.0,1.232,1.179,-1.207,1.056
62.002,-161.2,-803.3,179.0,1.232,1.179,-1.207,1.056
65.996,-161.2,-803.3,179.0,1.232,1.179,-1.207,1.056
69.99600000000001,-161.2,-803.3,179.0,1.232,1.179,-1.207,1.056
71.999,-161.2,-803.3,179.0,1.232,1.179,-1.207,1.056
74.0,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.232
82.99900000000001,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.232
85.998,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.232
87.999,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.162
93.0,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.162
96.998,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.162
100.998,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.197
104.999,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.197
108.998,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.197
111.0,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.197
112.998,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.197
115.0,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.126
120.999,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.126
123.999,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.126
127.998,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.126
132.0,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.126
135.997,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.126
140.00099999999998,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.126
144.0,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.126
147.99699999999999,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.197
151.99699999999999,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.197
153.998,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.197
155.996,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.197
157.998,-161.2,-803.2,178.9,1.232,1.179,-1.207,1.162
