Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
0.0,-81.0,-827.9,177.7,1.234,1.181,-1.205,1.126
2.999,-81.0,-827.9,177.7,1.234,1.181,-1.205,1.126
5.002000000000001,-81.0,-827.9,177.7,1.234,1.181,-1.206,1.303
9.001,-81.0,-827.9,177.7,1.234,1.181,-1.206,1.303
13.001999999999999,-81.0,-827.9,177.7,1.234,1.181,-1.206,1.303
15.001999999999999,-81.0,-827.9,177.7,1.234,1.181,-1.206,1.303
17.000999999999998,-81.0,-827.9,177.7,1.234,1.181,-1.206,1.303
19.001,-81.0,-827.9,177.7,1.234,1.181,-1.205,1.232
23.001,-81.0,-827.9,177.7,1.234,1.181,-1.205,1.232
25.000999999999998,-81.0,-827.9,177.7,1.234,1.181,-1.205,1.232
27.002000000000002,-81.0,-827.9,177.7,1.234,1.181,-1.205,1.232
31.003,-81.0,-827.9,177.7,1.234,1.181,-1.205,1.232
35.001999999999995,-81.0,-827.9,177.7,1.234,1.181,-1.205,1.232
37.003,-81.0,-827.9,177.7,1.234,1.181,-1.205,1.232
39.001,-81.0,-827.9,177.7,1.234,1.181,-1.205,1.232
41.003,-81.0,-827.9,177.7,1.234,1.181,-1.205,1.232
43.001999999999995,-81.0,-827.9,177.7,1.234,1.181,-1.205,1.232
45.002,-81.0,-827.9,177.7,1.234,1.181,-1.206,1.232
47.001,-81.0,-827.9,177.7,1.234,1.181,-1.206,1.232
49.001000000000005,-81.0,-827.9,177.7,1.234,1.181,-1.206,1.232
51.001,-81.0,-827.9,177.7,1.234,1.181,-1.206,1.232
53.004000000000005,-81.0,-827.9,177.7,1.234,1.181,-1.206,1.232
57.001999999999995,-81.0,-827.9,177.7,1.234,1.181,-1.206,1.232
61.002,-81.0,-827.9,177.7,1.234,1.181,-1.206,1.056
63.002,-81.0,-827.9,177.7,1.234,1.181,-1.206,1.056
65.003,-81.0,-827.9,177.7,1.234,1.181,-1.206,1.056
67.00200000000001,-81.0,-827.9,177.7,1.234,1.181,-1.206,1.056
71.00099999999999,-81.0,-827.9,177.7,1.234,1.181,-1.206,1.056
