Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
0.0,118.8,-801.4,177.7,1.234,1.181,-1.206,1.232
2.0010000000000003,118.8,-801.4,177.7,1.234,1.181,-1.206,1.232
4.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.232
6.002000000000001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.232
8.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.232
10.008,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
12.007,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
14.002,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
16.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
20.0,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
22.002000000000002,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
24.001,118.9,-801.4,177.7,1.234,1.181,-1.206,1.233
26.002000000000002,118.9,-801.4,177.7,1.234,1.181,-1.206,1.233
28.002,118.9,-801.4,177.7,1.234,1.181,-1.206,1.233
30.002000000000002,118.9,-801.4,177.7,1.234,1.181,-1.206,1.233
34.0,118.9,-801.4,177.7,1.234,1.181,-1.206,1.233
38.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.162
40.001000000000005,118.8,-801.4,177.7,1.234,1.181,-1.206,1.162
44.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.162
45.998999999999995,118.8,-801.4,177.7,1.234,1.181,-1.206,1.162
48.0,118.8,-801.4,177.7,1.234,1.181,-1.206,1.162
50.0,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
52.0,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
56.001000000000005,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
58.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
60.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
62.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.339
66.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.339
68.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.339
70.00099999999999,118.8,-801.4,177.7,1.234,1.181,-1.206,1.339
72.00099999999999,118.8,-801.4,177.7,1.234,1.181,-1.206,1.339
74.00099999999999,118.8,-801.4,177.7,1.234,1.181,-1.206,1.339
78.008,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
80.003,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
84.008,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
88.00800000000001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
90.005,118.9,-801.4,177.7,1.234,1.181,-1.206,1.303
94.006,118.9,-801.4,177.7,1.234,1.181,-1.206,1.303
96.005,118.9,-801.4,177.7,1.234,1.181,-1.206,1.303
98.00399999999999,118.9,-801.4,177.7,1.234,1.181,-1.206,1.303
102.006,118.9,-801.4,177.7,1.234,1.181,-1.206,1.303
104.005,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
106.002,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
110.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
114.00200000000001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
116.002,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
118.00099999999999,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
120.00099999999999,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
122.002,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
124.002,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
128.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
130.002,118.9,-801.4,177.7,1.234,1.181,-1.206,1.338
134.001,118.9,-801.4,177.7,1.234,1.181,-1.206,1.338
136.002,118.9,-801.4,177.7,1.234,1.181,-1.206,1.338
138.002,118.9,-801.4,177.7,1.234,1.181,-1.206,1.338
140.0,118.9,-801.4,177.7,1.234,1.181,-1.206,1.338
142.00099999999998,118.8,-801.4,177.7,1.234,1.181,-1.206,1.339
144.00199999999998,118.8,-801.4,177.7,1.234,1.181,-1.206,1.339
146.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.339
148.01,118.8,-801.4,177.7,1.234,1.181,-1.206,1.339
150.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.339
152.002,118.8,-801.4,177.7,1.234,1.181,-1.206,1.339
154.007,118.8,-801.4,177.7,1.234,1.181,-1.206,1.339
156.008,118.8,-801.4,177.7,1.234,1.181,-1.206,1.198
160.008,118.8,-801.4,177.7,1.234,1.181,-1.206,1.198
164.00799999999998,118.8,-801.4,177.7,1.234,1.181,-1.206,1.198
166.00799999999998,118.8,-801.4,177.7,1.234,1.181,-1.206,1.198
170.00799999999998,118.9,-801.4,177.7,1.234,1.181,-1.206,1.233
172.006,118.9,-801.4,177.7,1.234,1.181,-1.206,1.233
176.005,118.9,-801.4,177.7,1.234,1.181,-1.206,1.233
178.005,118.9,-801.4,177.7,1.234,1.181,-1.206,1.233
182.006,118.8,-801.4,177.7,1.234,1.181,-1.206,1.304
186.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.304
190.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.304
192.0,118.8,-801.4,177.7,1.234,1.181,-1.206,1.304
194.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.304
196.001,118.9,-801.4,177.7,1.234,1.181,-1.206,1.268
198.002,118.9,-801.4,177.7,1.234,1.181,-1.206,1.268
200.001,118.9,-801.4,177.7,1.234,1.181,-1.206,1.268
202.00099999999998,118.9,-801.4,177.7,1.234,1.181,-1.206,1.268
204.00099999999998,118.9,-801.4,177.7,1.234,1.181,-1.206,1.268
206.00099999999998,118.9,-801.4,177.7,1.234,1.181,-1.206,1.268
208.00199999999998,118.8,-801.4,177.7,1.234,1.181,-1.206,1.127
212.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.127
214.002,118.8,-801.4,177.7,1.234,1.181,-1.206,1.127
216.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.127
218.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.127
222.001,118.9,-801.4,177.7,1.234,1.181,-1.206,1.303
224.001,118.9,-801.4,177.7,1.234,1.181,-1.206,1.303
228.0,118.9,-801.4,177.7,1.234,1.181,-1.206,1.303
230.002,118.9,-801.4,177.7,1.234,1.181,-1.206,1.303
234.00099999999998,118.9,-801.4,177.7,1.234,1.181,-1.206,1.268
238.00099999999998,118.9,-801.4,177.7,1.234,1.181,-1.206,1.268
240.001,118.9,-801.4,177.7,1.234,1.181,-1.206,1.268
242.001,118.9,-801.4,177.7,1.234,1.181,-1.206,1.268
246.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
248.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
250.00099999999998,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
252.00099999999998,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
254.002,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
256.0,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
260.0,118.9,-801.4,177.7,1.234,1.181,-1.206,1.268
262.001,118.9,-801.4,177.7,1.234,1.181,-1.206,1.268
266.001,118.9,-801.4,177.7,1.234,1.181,-1.206,1.268
268.002,118.9,-801.4,177.7,1.234,1.181,-1.206,1.268
270.001,118.9,-801.4,177.7,1.234,1.181,-1.206,1.268
272.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
274.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
276.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
278.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
280.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
284.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
286.00100000000003,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
288.00100000000003,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
290.00100000000003,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
292.00100000000003,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
294.00100000000003,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
296.00100000000003,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
298.002,118.9,-801.4,177.7,1.234,1.181,-1.206,1.374
300.00100000000003,118.9,-801.4,177.7,1.234,1.181,-1.206,1.374
302.00100000000003,118.9,-801.4,177.7,1.234,1.181,-1.206,1.374
306.0,118.9,-801.4,177.7,1.234,1.181,-1.206,1.374
310.0,118.9,-801.4,177.7,1.234,1.181,-1.206,1.374
312.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
316.00800000000004,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
318.00800000000004,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
320.00800000000004,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
322.007,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
324.007,118.9,-801.4,177.7,1.234,1.181,-1.206,1.339
326.005,118.9,-801.4,177.7,1.234,1.181,-1.206,1.339
330.005,118.9,-801.4,177.7,1.234,1.181,-1.206,1.339
334.00600000000003,118.9,-801.4,177.7,1.234,1.181,-1.206,1.339
336.00600000000003,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
338.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
340.006,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
342.005,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
344.005,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
346.005,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
348.007,118.8,-801.4,177.7,1.234,1.181,-1.206,1.303
350.005,118.8,-801.4,177.7,1.234,1.181,-1.206,1.303
352.002,118.8,-801.4,177.7,1.234,1.181,-1.206,1.303
354.006,118.8,-801.4,177.7,1.234,1.181,-1.206,1.303
358.00399999999996,118.8,-801.4,177.7,1.234,1.181,-1.206,1.303
360.004,118.8,-801.4,177.7,1.234,1.181,-1.206,1.303
362.008,118.9,-801.4,177.7,1.234,1.181,-1.206,1.267
364.008,118.9,-801.4,177.7,1.234,1.181,-1.206,1.267
366.006,118.9,-801.4,177.7,1.234,1.181,-1.206,1.267
368.006,118.9,-801.4,177.7,1.234,1.181,-1.206,1.267
370.00600000000003,118.9,-801.4,177.7,1.234,1.181,-1.206,1.267
372.00600000000003,118.9,-801.4,177.7,1.234,1.181,-1.206,1.267
374.004,118.9,-801.4,177.7,1.234,1.181,-1.206,1.267
378.00600000000003,118.8,-801.4,177.7,1.234,1.181,-1.206,1.303
380.005,118.8,-801.4,177.7,1.234,1.181,-1.206,1.303
382.005,118.8,-801.4,177.7,1.234,1.181,-1.206,1.303
384.004,118.8,-801.4,177.7,1.234,1.181,-1.206,1.303
386.00600000000003,118.8,-801.4,177.7,1.234,1.181,-1.206,1.303
388.005,118.9,-801.4,177.7,1.234,1.181,-1.206,1.233
390.001,118.9,-801.4,177.7,1.234,1.181,-1.206,1.233
392.001,118.9,-801.4,177.7,1.234,1.181,-1.206,1.233
394.001,118.9,-801.4,177.7,1.234,1.181,-1.206,1.233
398.002,118.9,-801.4,177.7,1.234,1.181,-1.206,1.233
402.002,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
404.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
406.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
408.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
410.001,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
412.00199999999995,118.8,-801.4,177.7,1.234,1.181,-1.206,1.233
414.0,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
416.00100000000003,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
418.00100000000003,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
422.00100000000003,118.8,-801.4,177.7,1.234,1.181,-1.206,1.268
