Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
26.002000000000002,-121.0,-776.3,177.7,1.234,1.18,-1.206,1.02
30.0,-121.0,-776.3,177.7,1.234,1.18,-1.206,1.02
33.999,-121.0,-776.3,177.7,1.234,1.181,-1.206,0.986
37.998999999999995,-121.0,-776.3,177.7,1.234,1.181,-1.206,0.986
42.0,-121.0,-776.3,177.7,1.234,1.181,-1.206,0.986
43.999,-121.1,-776.3,177.7,1.234,1.18,-1.206,1.092
47.998,-121.1,-776.3,177.7,1.234,1.18,-1.206,1.092
49.998,-121.1,-776.3,177.7,1.234,1.18,-1.206,1.092
53.001,-121.1,-776.3,177.7,1.234,1.18,-1.206,1.092
57.0,-121.1,-776.3,177.7,1.234,1.18,-1.206,1.092
60.998999999999995,-121.1,-776.3,177.8,1.234,1.18,-1.206,1.021
64.998,-121.1,-776.3,177.8,1.234,1.18,-1.206,1.021
66.998,-121.1,-776.3,177.8,1.234,1.18,-1.206,1.021
69.0,-121.1,-776.3,177.8,1.234,1.18,-1.206,1.021
70.99900000000001,-121.1,-776.3,177.8,1.234,1.18,-1.206,1.021
73.002,-121.1,-776.3,177.8,1.234,1.18,-1.206,1.162
76.999,-121.1,-776.3,177.8,1.234,1.18,-1.206,1.162
79.999,-121.1,-776.3,177.8,1.234,1.18,-1.206,1.162
83.99900000000001,-121.1,-776.3,177.8,1.234,1.18,-1.206,1.162
88.0,-121.1,-776.3,177.8,1.234,1.18,-1.206,1.197
89.99799999999999,-121.1,-776.3,177.8,1.234,1.18,-1.206,1.197
91.99799999999999,-121.1,-776.3,177.8,1.234,1.18,-1.206,1.197
93.999,-121.1,-776.3,177.8,1.234,1.18,-1.206,1.197
95.999,-121.1,-776.3,177.8,1.234,1.18,-1.206,1.197
97.99900000000001,-121.1,-776.3,177.8,1.234,1.18,-1.206,1.197
99.99900000000001,-121.1,-776.3,177.8,1.234,1.18,-1.206,1.056
103.99799999999999,-121.1,-776.3,177.8,1.234,1.18,-1.206,1.056
107.999,-121.1,-776.3,177.8,1.234,1.18,-1.206,1.056
111.999,-121.1,-776.3,177.8,1.234,1.18,-1.206,1.056
116.0,-121.1,-776.3,177.8,1.234,1.18,-1.206,1.126
119.99799999999999,-121.1,-776.3,177.8,1.234,1.18,-1.206,1.126
122.99799999999999,-121.1,-776.3,177.8,1.234,1.18,-1.206,1.126
128.0,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.056
131.998,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.056
136.001,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.056
140.0,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.056
141.99800000000002,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.056
144.0,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.056
145.99699999999999,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.056
149.999,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.056
151.998,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.056
156.0,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.021
159.998,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.021
161.999,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.021
163.999,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.021
165.99800000000002,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.021
167.99900000000002,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.021
170.0,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.092
171.99900000000002,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.092
176.0,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.092
177.999,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.092
180.999,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.092
185.0,-121.1,-776.2,177.8,1.234,1.181,-1.206,0.95
186.999,-121.1,-776.2,177.8,1.234,1.181,-1.206,0.95
191.0,-121.1,-776.2,177.8,1.234,1.181,-1.206,0.95
192.998,-121.1,-776.2,177.8,1.234,1.181,-1.206,0.95
197.001,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.198
198.99800000000002,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.198
200.99900000000002,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.198
203.00199999999998,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.198
209.0,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.161
212.99699999999999,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.161
214.999,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.161
219.0,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.161
220.999,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.161
222.998,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.021
224.999,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.021
226.999,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.021
230.99900000000002,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.021
234.99900000000002,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.127
237.999,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.127
241.999,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.127
246.999,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.127
248.999,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.056
251.00099999999998,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.056
255.0,-121.1,-776.2,177.8,1.234,1.181,-1.206,1.056
