Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
0.0,-181.4,-751.3,178.5,1.232,1.179,-1.207,1.126
4.005,-181.4,-751.3,178.5,1.232,1.179,-1.207,1.126
5.997,-181.4,-751.3,178.5,1.232,1.179,-1.207,1.126
7.998,-181.4,-751.2,178.6,1.232,1.179,-1.207,1.161
11.997,-181.4,-751.2,178.6,1.232,1.179,-1.207,1.161
15.998999999999999,-181.4,-751.2,178.6,1.232,1.179,-1.207,1.161
17.999000000000002,-181.4,-751.2,178.6,1.232,1.179,-1.207,1.161
19.997999999999998,-181.4,-751.3,178.7,1.232,1.179,-1.207,1.197
23.997,-181.4,-751.3,178.7,1.232,1.179,-1.207,1.197
25.997,-181.4,-751.3,178.7,1.232,1.179,-1.207,1.197
27.997,-181.4,-751.3,178.7,1.232,1.179,-1.207,1.197
29.998,-181.4,-751.3,178.7,1.232,1.179,-1.207,1.197
31.997999999999998,-181.4,-751.3,178.7,1.232,1.179,-1.207,1.197
33.998,-181.4,-751.2,178.9,1.232,1.179,-1.207,1.196
35.998000000000005,-181.4,-751.2,178.9,1.232,1.179,-1.207,1.196
39.997,-181.4,-751.2,178.9,1.232,1.179,-1.207,1.196
44.0,-181.4,-751.2,178.9,1.232,1.179,-1.207,1.196
48.0,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.126
50.0,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.126
51.998000000000005,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.126
53.998,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.126
55.999,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.126
57.998,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.126
59.997,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.091
63.999,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.091
67.99900000000001,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.091
72.0,-181.4,-751.1,178.8,1.232,1.179,-1.207,1.091
78.999,-181.4,-751.1,178.8,1.232,1.179,-1.207,1.091
80.999,-181.4,-751.1,178.8,1.232,1.179,-1.207,1.091
82.99900000000001,-181.4,-751.1,178.8,1.232,1.179,-1.207,1.091
85.00399999999999,-181.4,-751.1,178.8,1.232,1.179,-1.207,1.091
88.99799999999999,-181.4,-751.1,178.8,1.232,1.179,-1.207,1.091
90.999,-181.4,-751.1,178.8,1.232,1.179,-1.207,1.091
94.999,-181.4,-751.1,178.8,1.232,1.179,-1.207,1.091
98.998,-181.4,-751.1,178.8,1.232,1.179,-1.207,1.091
101.0,-181.4,-751.1,178.8,1.232,1.179,-1.207,1.373
103.003,-181.4,-751.1,178.8,1.232,1.179,-1.207,1.373
105.0,-181.4,-751.1,178.8,1.232,1.179,-1.207,1.373
109.0,-181.4,-751.1,178.8,1.232,1.179,-1.207,1.373
113.001,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.197
115.002,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.197
116.99900000000001,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.197
120.00099999999999,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.197
123.999,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.197
128.0,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.197
130.0,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.197
132.002,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.197
134.00300000000001,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.197
135.99800000000002,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.197
139.99900000000002,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.197
143.999,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.162
146.00199999999998,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.162
147.999,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.162
151.998,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.162
155.999,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.162
160.0,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.196
163.999,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.196
167.99900000000002,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.196
172.0,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.161
174.0,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.161
175.999,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.161
177.998,-181.4,-751.1,178.9,1.232,1.179,-1.207,1.161
