Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
0.0,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.267
3.0,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.267
7.001,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.267
9.004,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.267
11.001999999999999,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.267
13.003,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.267
15.004,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.267
19.002000000000002,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.267
23.001,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.267
25.003,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.267
27.001,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.267
31.002,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.267
33.001999999999995,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.267
35.001999999999995,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.267
37.001,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.267
39.002,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.232
41.004,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.232
43.003,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.232
47.0,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.232
51.003,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.232
53.004000000000005,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.162
55.002,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.162
57.004,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.162
59.001999999999995,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.162
63.001000000000005,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.162
67.003,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.196
71.002,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.196
73.002,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.196
75.003,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.196
77.002,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.196
79.00500000000001,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.337
81.00200000000001,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.337
83.003,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.337
85.002,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.337
89.002,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.337
91.002,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.337
95.003,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.337
97.003,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.337
99.00200000000001,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.337
101.003,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.337
103.00099999999999,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.337
105.004,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.337
109.002,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.302
111.001,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.302
115.002,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.302
119.002,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.302
121.003,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.302
123.003,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.302
125.004,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.302
127.00200000000001,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.302
129.002,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.302
131.002,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.302
133.00300000000001,-121.1,-802.0,177.6,1.234,1.181,-1.205,1.302
135.001,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.337
137.002,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.337
139.00199999999998,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.337
143.00199999999998,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.337
147.00199999999998,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.337
149.004,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.338
151.002,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.338
155.002,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.338
163.00300000000001,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.338
167.002,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.338
179.001,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.302
183.005,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.302
187.00300000000001,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.302
191.00400000000002,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.302
197.00300000000001,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.302
201.004,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.302
203.004,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.302
209.006,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.302
215.004,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.302
223.002,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.302
231.002,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.302
245.002,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.267
249.001,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.267
259.002,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.267
261.001,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.267
267.0,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.374
271.001,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.374
275.003,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.374
278.999,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.374
291.0,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.267
294.999,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.267
296.998,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.267
301.0,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.267
309.002,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.267
315.0,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.337
316.998,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.337
319.001,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.337
325.001,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.337
331.0,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.267
342.00199999999995,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.267
355.999,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.267
362.00100000000003,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.267
363.998,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.267
365.998,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.267
368.0,-121.1,-802.0,177.7,1.234,1.181,-1.205,1.267
372.003,-121.1,-802.0,177.7,1.234,1.181,-1.206,1.267
373.999,-121.1,-802.0,177.7,1.234,1.181,-1.206,1.267
376.0,-121.1,-802.0,177.7,1.234,1.181,-1.206,1.267
378.0,-121.1,-802.0,177.7,1.234,1.181,-1.206,1.267
379.99899999999997,-121.1,-802.0,177.7,1.234,1.181,-1.206,1.267
383.99899999999997,-121.0,-802.0,177.7,1.234,1.181,-1.206,1.302
386.0,-121.0,-802.0,177.7,1.234,1.181,-1.206,1.302
404.00199999999995,-121.0,-802.0,177.7,1.234,1.181,-1.206,1.302
412.003,-121.0,-802.0,177.7,1.234,1.181,-1.206,1.302
422.00100000000003,-121.0,-802.0,177.7,1.234,1.181,-1.206,1.302
436.00100000000003,-121.0,-802.0,177.7,1.234,1.181,-1.206,1.302
442.002,-121.0,-802.0,177.7,1.234,1.181,-1.206,1.338
444.001,-121.0,-802.0,177.7,1.234,1.181,-1.206,1.338
446.001,-121.0,-802.0,177.7,1.234,1.181,-1.206,1.338
448.003,-121.0,-802.0,177.7,1.234,1.181,-1.206,1.338
450.003,-121.0,-802.0,177.7,1.234,1.181,-1.206,1.338
452.003,-121.0,-802.0,177.7,1.234,1.181,-1.206,1.338
454.001,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.337
456.001,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.337
462.003,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.337
464.001,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.337
466.001,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.337
470.001,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.408
475.999,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.408
479.999,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.408
492.002,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.408
494.00100000000003,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.408
496.00100000000003,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.408
498.00100000000003,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.408
502.003,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.408
504.00100000000003,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.408
508.00100000000003,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.408
513.0010000000001,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.303
519.0010000000001,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.303
523.0010000000001,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.303
529.002,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.303
531.002,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.303
541.003,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.302
543.001,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.302
545.003,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.302
547.003,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.302
549.001,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.302
551.003,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.302
559.003,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.302
561.003,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.408
565.001,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.408
567.001,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.408
569.001,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.408
571.001,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.408
575.0020000000001,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.408
577.003,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.126
579.001,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.126
583.0020000000001,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.126
587.001,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.126
591.001,-121.0,-802.1,177.7,1.234,1.181,-1.206,1.126
595.0020000000001,-121.0,-802.0,177.6,1.234,1.181,-1.205,0.88
597.001,-121.0,-802.0,177.6,1.234,1.181,-1.205,0.88
601.001,-121.0,-802.0,177.6,1.234,1.181,-1.205,0.88
607.001,-121.0,-802.0,177.6,1.234,1.181,-1.205,0.88
611.001,-121.1,-801.7,176.8,1.235,1.182,-1.205,1.619
623.001,-121.1,-801.7,176.8,1.235,1.182,-1.205,1.619
633.0010000000001,-121.1,-801.7,176.8,1.235,1.182,-1.205,1.619
635.0010000000001,-121.1,-801.7,176.8,1.235,1.182,-1.205,1.619
639.0010000000001,-121.2,-802.3,176.8,1.234,1.181,-1.205,1.443
641.002,-121.2,-802.3,176.8,1.234,1.181,-1.205,1.443
653.0010000000001,-121.2,-802.3,176.8,1.234,1.181,-1.205,1.443
657.002,-121.2,-802.3,176.8,1.234,1.181,-1.205,1.443
661.002,-121.2,-802.3,176.8,1.234,1.181,-1.205,1.443
663.001,-121.2,-801.8,177.3,1.233,1.181,-1.206,1.479
669.0,-121.2,-801.8,177.3,1.233,1.181,-1.206,1.479
684.998,-121.2,-801.8,177.3,1.233,1.181,-1.206,1.479
700.999,-121.2,-801.8,177.3,1.233,1.181,-1.206,1.479
715.0020000000001,-121.2,-801.8,177.3,1.233,1.181,-1.206,1.479
725.0060000000001,-121.2,-801.8,177.3,1.233,1.181,-1.206,1.479
733.0020000000001,-121.3,-802.6,177.4,1.233,1.179,-1.207,1.232
737.001,-121.3,-802.6,177.4,1.233,1.179,-1.207,1.232
739.001,-121.3,-802.6,177.4,1.233,1.179,-1.207,1.232
741.0020000000001,-121.3,-802.6,177.4,1.233,1.179,-1.207,1.232
743.0020000000001,-121.3,-802.6,177.4,1.233,1.179,-1.207,1.232
745.0029999999999,-121.3,-802.9,179.1,1.232,1.179,-1.207,1.337
747.0020000000001,-121.3,-802.9,179.1,1.232,1.179,-1.207,1.337
751.001,-121.3,-802.9,179.1,1.232,1.179,-1.207,1.337
763.002,-121.3,-802.9,179.1,1.232,1.179,-1.207,1.337
765.0010000000001,-121.3,-802.9,179.1,1.232,1.179,-1.207,1.337
767.002,-121.3,-802.9,179.1,1.232,1.179,-1.207,1.337
769.0010000000001,-121.3,-802.9,179.3,1.232,1.179,-1.207,1.126
771.003,-121.3,-802.9,179.3,1.232,1.179,-1.207,1.126
773.003,-121.3,-802.9,179.3,1.232,1.179,-1.207,1.126
777.0010000000001,-121.3,-802.9,179.3,1.232,1.179,-1.207,1.126
793.002,-121.3,-802.9,179.3,1.232,1.179,-1.207,1.126
809.002,-121.3,-802.7,179.3,1.232,1.179,-1.207,1.055
821.002,-121.3,-802.7,179.3,1.232,1.179,-1.207,1.055
825.0020000000001,-121.3,-802.7,179.3,1.232,1.179,-1.207,1.055
839.001,-121.3,-802.7,179.3,1.232,1.179,-1.207,1.055
843.0020000000001,-121.3,-802.5,179.0,1.232,1.179,-1.207,1.303
845.0020000000001,-121.3,-802.5,179.0,1.232,1.179,-1.207,1.303
853.0029999999999,-121.3,-802.5,179.0,1.232,1.179,-1.207,1.303
855.001,-121.3,-802.5,179.0,1.232,1.179,-1.207,1.303
859.0020000000001,-121.3,-802.5,179.0,1.232,1.179,-1.207,1.303
863.001,-121.3,-802.5,179.0,1.232,1.179,-1.207,1.267
867.001,-121.3,-802.5,179.0,1.232,1.179,-1.207,1.267
869.0029999999999,-121.3,-802.5,179.0,1.232,1.179,-1.207,1.267
871.001,-121.3,-802.5,179.0,1.232,1.179,-1.207,1.267
873.001,-121.3,-802.5,179.0,1.232,1.179,-1.207,1.478
875.002,-121.3,-802.5,179.0,1.232,1.179,-1.207,1.478
891.0010000000001,-121.3,-802.5,179.0,1.232,1.179,-1.207,1.478
899.0010000000001,-121.3,-802.5,179.0,1.232,1.179,-1.207,1.478
901.002,-121.3,-802.5,179.0,1.232,1.179,-1.207,1.478
903.0010000000001,-121.3,-802.5,179.0,1.232,1.179,-1.207,1.478
905.0010000000001,-121.3,-802.5,179.0,1.232,1.179,-1.207,1.478
907.002,-121.3,-802.5,179.0,1.232,1.179,-1.207,1.161
913.001,-121.3,-802.5,179.0,1.232,1.179,-1.207,1.161
917.003,-121.3,-802.5,179.0,1.232,1.179,-1.207,1.161
919.001,-121.3,-802.5,179.0,1.232,1.179,-1.207,1.161
923.003,-121.3,-802.5,179.0,1.232,1.179,-1.207,1.161
934.999,-121.3,-802.5,179.1,1.232,1.179,-1.207,1.232
950.998,-121.3,-802.5,179.1,1.232,1.179,-1.207,1.232
964.999,-121.3,-802.5,179.1,1.232,1.179,-1.207,1.232
981.001,-121.3,-802.5,179.1,1.232,1.179,-1.207,1.232
983.001,-121.3,-802.5,179.1,1.232,1.179,-1.207,1.196
993.0,-121.3,-802.5,179.1,1.232,1.179,-1.207,1.196
997.0,-121.3,-802.5,179.1,1.232,1.179,-1.207,1.196
1000.999,-121.3,-802.5,179.1,1.232,1.179,-1.207,1.196
1012.999,-121.3,-802.5,179.1,1.232,1.179,-1.207,1.196
1014.999,-121.3,-802.5,179.1,1.232,1.179,-1.207,1.196
1016.998,-121.3,-802.5,179.1,1.232,1.179,-1.207,1.232
1018.9999999999999,-121.3,-802.5,179.1,1.232,1.179,-1.207,1.232
1023.002,-121.3,-802.5,179.1,1.232,1.179,-1.207,1.232
1027.001,-121.3,-802.5,179.1,1.232,1.179,-1.207,1.232
1033.0,-121.3,-802.5,179.1,1.232,1.179,-1.207,1.267
1035.0,-121.3,-802.5,179.1,1.232,1.179,-1.207,1.267
1043.003,-121.3,-802.5,179.1,1.232,1.179,-1.207,1.267
1051.002,-121.3,-802.5,179.1,1.232,1.179,-1.207,1.267
1055.0,-121.3,-802.5,179.1,1.232,1.179,-1.207,1.302
1059.0,-121.3,-802.5,179.1,1.232,1.179,-1.207,1.302
1060.998,-121.3,-802.5,179.1,1.232,1.179,-1.207,1.302
