Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
0.0,18.7,-749.8,177.9,1.234,1.181,-1.206,1.231
4.001,18.7,-749.8,177.9,1.234,1.181,-1.206,1.231
6.001,18.7,-749.8,177.9,1.234,1.181,-1.206,1.231
8.001,18.7,-749.8,177.9,1.234,1.181,-1.206,1.231
10.001,18.7,-749.8,177.9,1.234,1.181,-1.206,1.231
12.0,18.7,-749.8,177.9,1.234,1.181,-1.206,1.267
14.002,18.7,-749.8,177.9,1.234,1.181,-1.206,1.267
16.0,18.7,-749.8,177.9,1.234,1.181,-1.206,1.267
20.002,18.7,-749.8,177.9,1.234,1.181,-1.206,1.267
22.001,18.7,-749.8,177.9,1.234,1.181,-1.206,1.267
24.001,18.7,-749.8,177.9,1.234,1.181,-1.206,1.267
28.002,18.7,-749.8,177.9,1.234,1.181,-1.206,1.267
30.001,18.7,-749.8,177.9,1.234,1.181,-1.206,1.267
34.0,18.7,-749.8,177.9,1.234,1.181,-1.206,1.267
36.001,18.7,-749.8,177.9,1.234,1.181,-1.206,1.267
40.001000000000005,18.7,-749.8,177.9,1.234,1.181,-1.206,1.267
42.004,18.7,-749.8,177.9,1.234,1.181,-1.206,1.267
46.002,18.7,-749.8,177.9,1.234,1.181,-1.206,1.267
50.0,18.7,-749.8,177.9,1.234,1.181,-1.206,1.267
52.001,18.7,-749.8,177.9,1.234,1.181,-1.206,1.091
54.001,18.7,-749.8,177.9,1.234,1.181,-1.206,1.091
56.003,18.7,-749.8,177.9,1.234,1.181,-1.206,1.091
58.001999999999995,18.7,-749.8,177.9,1.234,1.181,-1.206,1.091
60.0,18.7,-749.8,177.9,1.234,1.181,-1.206,1.091
62.001,18.7,-749.8,177.9,1.234,1.181,-1.206,1.091
64.003,18.7,-749.8,177.9,1.234,1.181,-1.206,1.161
68.003,18.7,-749.8,177.9,1.234,1.181,-1.206,1.161
72.002,18.7,-749.8,177.9,1.234,1.181,-1.206,1.161
74.002,18.7,-749.8,177.9,1.234,1.181,-1.206,1.161
76.001,18.7,-749.8,177.9,1.234,1.181,-1.206,1.091
78.002,18.7,-749.8,177.9,1.234,1.181,-1.206,1.091
80.00200000000001,18.7,-749.8,177.9,1.234,1.181,-1.206,1.091
82.00200000000001,18.7,-749.8,177.9,1.234,1.181,-1.206,1.091
84.003,18.7,-749.8,177.9,1.234,1.181,-1.206,1.091
86.002,18.7,-749.8,177.9,1.234,1.181,-1.206,1.091
88.005,18.7,-749.8,177.9,1.234,1.181,-1.206,1.091
90.001,18.7,-749.8,177.9,1.234,1.181,-1.206,1.126
92.001,18.7,-749.8,177.9,1.234,1.181,-1.206,1.126
