Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
0.0,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.232
3.002,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.232
5.002999999999999,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.232
9.003,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.162
13.004999999999999,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.162
15.003,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.162
17.002,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.162
19.003,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.162
21.003,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.267
23.005000000000003,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.267
25.003,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.267
27.003,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.267
31.003,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.267
35.003,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.338
37.003,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.338
39.002,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.338
41.003,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.338
43.004,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.338
47.003,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.338
51.001999999999995,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.232
53.004000000000005,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.232
57.001999999999995,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.232
61.004000000000005,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.197
63.003,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.197
65.00200000000001,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.197
67.00200000000001,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.197
69.003,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.197
71.005,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.197
73.002,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.197
75.002,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.162
77.002,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.162
81.001,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.162
83.00200000000001,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.162
87.004,-140.9,-828.3,177.9,1.234,1.18,-1.206,1.162
