Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
1.003,-241.1,-776.6,178.0,1.234,1.18,-1.206,1.231
3.005,-241.1,-776.6,177.9,1.234,1.18,-1.206,1.197
5.002999999999999,-241.1,-776.6,177.9,1.234,1.18,-1.206,1.197
9.004,-241.1,-776.6,177.9,1.234,1.18,-1.206,1.197
11.003,-241.1,-776.6,177.9,1.234,1.18,-1.206,1.197
13.003,-241.1,-776.6,177.9,1.234,1.18,-1.206,1.197
15.001999999999999,-241.1,-776.6,177.9,1.234,1.18,-1.206,1.197
17.002,-241.1,-776.6,177.9,1.234,1.18,-1.206,1.197
19.003,-241.1,-776.6,177.9,1.234,1.18,-1.206,1.197
21.002,-241.1,-776.6,177.9,1.234,1.18,-1.206,1.197
23.005000000000003,-241.1,-776.6,177.9,1.234,1.18,-1.206,1.197
27.004,-241.1,-776.6,177.9,1.234,1.18,-1.206,1.197
31.004,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.231
33.005,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.231
35.004,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.231
37.003,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.231
39.003,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.231
41.003,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.231
43.005,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.231
45.002,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.267
47.003,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.267
51.001,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.267
55.007,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.267
57.005,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.267
59.001999999999995,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.161
62.003,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.161
64.003,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.161
66.003,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.161
72.003,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.231
77.003,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.231
80.00500000000001,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.231
85.00399999999999,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.161
87.006,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.161
90.003,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.161
92.003,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.161
96.00200000000001,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.161
103.003,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.232
114.003,-241.1,-776.6,177.9,1.234,1.181,-1.206,1.267
