Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
0.0,258.9,-801.1,177.9,1.234,1.181,-1.206,1.092
3.0010000000000003,258.9,-801.1,177.9,1.234,1.181,-1.206,1.092
7.003,258.9,-801.1,177.9,1.234,1.181,-1.206,1.092
11.001,258.9,-801.1,177.9,1.234,1.181,-1.206,1.092
13.001,258.9,-801.1,177.9,1.234,1.181,-1.206,1.127
15.002,258.9,-801.1,177.9,1.234,1.181,-1.206,1.127
17.003,258.9,-801.1,177.9,1.234,1.181,-1.206,1.127
19.003,258.9,-801.1,177.9,1.234,1.181,-1.206,1.127
21.002,258.9,-801.1,177.9,1.234,1.181,-1.206,1.127
23.002,258.9,-801.1,177.9,1.234,1.181,-1.206,1.127
25.003,258.9,-801.1,177.9,1.234,1.181,-1.206,1.162
27.003,258.9,-801.1,177.9,1.234,1.181,-1.206,1.162
31.003,258.9,-801.1,177.9,1.234,1.181,-1.206,1.162
35.001999999999995,258.9,-801.1,177.9,1.234,1.181,-1.206,1.162
37.003,258.9,-801.1,177.9,1.234,1.181,-1.206,1.162
39.003,258.9,-801.1,177.9,1.234,1.181,-1.206,1.162
41.003,258.9,-801.1,177.9,1.234,1.181,-1.206,1.162
43.002,258.9,-801.1,177.9,1.234,1.181,-1.206,1.162
45.002,258.9,-801.1,177.9,1.234,1.181,-1.206,1.162
47.005,258.9,-801.1,177.9,1.234,1.181,-1.206,1.162
49.0,258.9,-801.1,177.9,1.234,1.181,-1.206,1.162
53.001,258.9,-801.1,177.9,1.234,1.181,-1.206,1.092
57.004,258.9,-801.1,177.9,1.234,1.181,-1.206,1.092
61.002,258.9,-801.1,177.9,1.234,1.181,-1.206,1.092
63.002,258.9,-801.1,177.9,1.234,1.181,-1.206,1.092
65.0,258.9,-801.1,177.9,1.234,1.181,-1.206,1.092
67.009,258.9,-801.1,177.9,1.234,1.181,-1.206,1.057
69.001,258.9,-801.1,177.9,1.234,1.181,-1.206,1.057
71.002,258.9,-801.1,177.9,1.234,1.181,-1.206,1.057
73.004,258.9,-801.1,177.9,1.234,1.181,-1.206,1.057
75.003,258.9,-801.1,177.9,1.234,1.181,-1.206,1.057
77.004,258.9,-801.1,177.9,1.234,1.181,-1.206,1.057
80.003,258.9,-801.1,177.9,1.234,1.181,-1.206,1.057
84.00399999999999,258.9,-801.1,177.9,1.234,1.181,-1.206,1.091
86.002,258.9,-801.1,177.9,1.234,1.181,-1.206,1.091
88.004,258.9,-801.1,177.9,1.234,1.181,-1.206,1.091
90.002,258.9,-801.1,177.9,1.234,1.181,-1.206,1.091
92.002,258.9,-801.1,177.9,1.234,1.181,-1.206,1.091
94.003,258.9,-801.1,177.9,1.234,1.181,-1.206,1.091
98.002,258.9,-801.1,177.9,1.234,1.181,-1.206,1.092
100.001,258.9,-801.1,177.9,1.234,1.181,-1.206,1.092
104.003,258.9,-801.1,177.9,1.234,1.181,-1.206,1.092
