Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
0.0,258.7,-775.0,177.7,1.234,1.181,-1.206,1.198
4.004,258.7,-775.0,177.7,1.234,1.181,-1.206,1.198
8.002,258.7,-775.0,177.7,1.234,1.181,-1.206,1.198
10.002,258.7,-775.0,177.7,1.234,1.181,-1.206,1.198
12.003,258.7,-775.0,177.7,1.234,1.181,-1.206,1.162
16.001,258.7,-775.0,177.7,1.234,1.181,-1.206,1.162
20.002,258.7,-775.0,177.7,1.234,1.181,-1.206,1.162
22.003,258.7,-775.0,177.7,1.234,1.181,-1.206,1.162
24.004,258.7,-775.0,177.7,1.234,1.181,-1.206,1.197
26.001,258.7,-775.0,177.7,1.234,1.181,-1.206,1.197
28.001,258.7,-775.0,177.7,1.234,1.181,-1.206,1.197
30.0,258.7,-775.0,177.7,1.234,1.181,-1.206,1.197
32.0,258.7,-775.0,177.7,1.234,1.181,-1.206,1.197
34.0,258.7,-775.0,177.7,1.234,1.181,-1.206,1.197
35.999,258.7,-775.0,177.7,1.234,1.181,-1.206,1.197
38.003,258.7,-775.0,177.7,1.234,1.181,-1.206,1.338
42.001,258.7,-775.0,177.7,1.234,1.181,-1.206,1.338
46.002,258.7,-775.0,177.7,1.234,1.181,-1.206,1.338
48.0,258.7,-775.0,177.7,1.234,1.181,-1.206,1.338
50.0,258.7,-775.0,177.7,1.234,1.181,-1.206,1.338
52.002,258.7,-775.0,177.7,1.234,1.181,-1.206,1.479
54.001,258.7,-775.0,177.7,1.234,1.181,-1.206,1.479
56.003,258.7,-775.0,177.7,1.234,1.181,-1.206,1.479
58.004,258.7,-775.0,177.7,1.234,1.181,-1.206,1.479
62.003,258.7,-775.0,177.7,1.234,1.181,-1.206,1.479
66.00200000000001,258.7,-775.0,177.8,1.234,1.181,-1.206,1.268
68.00399999999999,258.7,-775.0,177.8,1.234,1.181,-1.206,1.268
70.002,258.7,-775.0,177.8,1.234,1.181,-1.206,1.268
72.003,258.7,-775.0,177.8,1.234,1.181,-1.206,1.268
74.004,258.7,-775.0,177.8,1.234,1.181,-1.206,1.268
76.002,258.7,-775.0,177.8,1.234,1.181,-1.206,1.268
78.002,258.7,-775.0,177.8,1.234,1.181,-1.206,1.268
80.00200000000001,258.7,-775.0,177.8,1.234,1.181,-1.206,1.303
82.003,258.7,-775.0,177.8,1.234,1.181,-1.206,1.303
86.003,258.7,-775.0,177.8,1.234,1.181,-1.206,1.303
88.005,258.7,-775.0,177.8,1.234,1.181,-1.206,1.303
92.002,258.7,-775.0,177.8,1.234,1.181,-1.206,1.303
94.002,258.7,-775.0,177.8,1.234,1.181,-1.206,1.303
96.0,258.7,-775.0,177.8,1.234,1.181,-1.206,1.303
98.0,258.7,-775.0,177.8,1.234,1.181,-1.206,1.303
100.002,258.7,-775.0,177.8,1.234,1.181,-1.206,1.303
102.003,258.7,-775.0,177.8,1.234,1.181,-1.206,1.303
104.004,258.7,-775.0,177.8,1.234,1.181,-1.206,1.303
106.002,258.7,-775.0,177.8,1.234,1.181,-1.206,1.303
110.004,258.7,-775.0,177.8,1.234,1.181,-1.206,1.373
114.003,258.7,-775.0,177.8,1.234,1.181,-1.206,1.373
116.003,258.7,-775.0,177.8,1.234,1.181,-1.206,1.373
118.003,258.7,-775.0,177.8,1.234,1.181,-1.206,1.373
122.003,258.7,-775.0,177.8,1.234,1.181,-1.206,1.373
124.003,258.7,-775.0,177.8,1.234,1.181,-1.206,1.373
126.003,258.7,-775.0,177.8,1.234,1.181,-1.206,1.373
128.002,258.7,-775.0,177.8,1.234,1.181,-1.206,1.373
132.002,258.7,-775.0,177.8,1.234,1.181,-1.206,1.373
136.003,258.7,-775.0,177.8,1.234,1.181,-1.206,1.373
140.0,258.7,-775.0,177.8,1.234,1.181,-1.206,1.338
142.00199999999998,258.7,-775.0,177.8,1.234,1.181,-1.206,1.338
146.00199999999998,258.7,-775.0,177.8,1.234,1.181,-1.206,1.338
148.00199999999998,258.7,-775.0,177.8,1.234,1.181,-1.206,1.338
150.002,258.7,-775.0,177.8,1.234,1.181,-1.206,1.162
154.003,258.7,-775.0,177.8,1.234,1.181,-1.206,1.162
158.00400000000002,258.7,-775.0,177.8,1.234,1.181,-1.206,1.162
162.002,258.7,-775.0,177.8,1.234,1.181,-1.206,1.162
164.001,258.7,-775.0,177.8,1.234,1.181,-1.206,1.162
168.002,258.7,-775.0,177.8,1.234,1.181,-1.206,1.373
170.00199999999998,258.7,-775.0,177.8,1.234,1.181,-1.206,1.373
174.004,258.7,-775.0,177.8,1.234,1.181,-1.206,1.373
176.001,258.7,-775.0,177.8,1.234,1.181,-1.206,1.373
178.001,258.7,-775.0,177.8,1.234,1.181,-1.206,1.373
182.0,258.7,-775.0,177.8,1.234,1.181,-1.206,1.021
185.998,258.7,-775.0,177.8,1.234,1.181,-1.206,1.021
188.0,258.7,-775.0,177.8,1.234,1.181,-1.206,1.021
190.0,258.7,-775.0,177.8,1.234,1.181,-1.206,1.021
192.001,258.7,-775.0,177.6,1.234,1.181,-1.206,0.634
196.0,258.7,-775.0,177.6,1.234,1.181,-1.206,0.634
198.0,258.7,-775.0,177.6,1.234,1.181,-1.206,0.634
200.0,258.7,-775.0,177.6,1.234,1.181,-1.206,0.634
204.0,258.7,-775.0,177.6,1.234,1.181,-1.206,0.634
208.001,258.6,-774.7,177.2,1.234,1.182,-1.206,1.479
210.002,258.6,-774.7,177.2,1.234,1.182,-1.206,1.479
212.001,258.6,-774.7,177.2,1.234,1.182,-1.206,1.479
214.003,258.6,-774.7,177.2,1.234,1.182,-1.206,1.479
216.002,258.6,-774.7,177.2,1.234,1.182,-1.206,1.479
218.002,258.6,-774.7,177.2,1.234,1.182,-1.206,1.479
220.002,258.7,-774.9,176.9,1.234,1.181,-1.206,1.444
