Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
8.001999999999953,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1245386191259976
10.001999999999953,238.9,-801.9,179.2,1.232,1.178,-1.206,1.132640140839651
12.001999999999953,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1435396428633897
14.001999999999953,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1548346282232025
16.001999999999953,238.9,-801.9,179.2,1.232,1.178,-1.206,1.164122599945078
18.001999999999953,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1690010610550066
20.001999999999953,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1603839423995252
22.001999999999953,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1423880066256944
24.001999999999953,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1203589335664375
26.001999999999953,238.9,-801.9,179.2,1.232,1.178,-1.206,1.098555546481495
28.001999999999953,238.9,-801.9,179.2,1.232,1.178,-1.206,1.069217931561449
30.001999999999953,238.9,-801.9,179.2,1.232,1.178,-1.206,1.0545631898870387
32.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.0545913214582638
34.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.069302326275125
36.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.098662795246713
38.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1204429556457547
40.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.140987277934389
42.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1548870360408847
44.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1634112239102217
46.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1699741536406862
48.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1705364063461956
50.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1831966258072142
52.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.199019974450105
54.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.2144654995177195
56.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.2249012133193347
58.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.2295074478115884
60.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.2274683521786298
62.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.2179831136535957
64.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.2077506093287729
66.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.2013273727022824
68.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1965861869971464
70.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.197337420982561
72.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.200698733777684
74.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1978235144386828
76.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1884750357921308
78.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.175815023723573
80.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1615000000000033
82.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1471011021505595
84.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1344620166554282
86.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.125214551206917
88.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1209904074367274
90.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.123417523706681
92.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1266021371080226
94.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1267994358974391
96.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1299363344988378
98.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1322739382284415
100.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1279157972028002
102.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1184860827505856
104.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1058285116550144
106.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.0915143158508185
108.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.077196240702661
110.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.0600856379995376
112.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.047402180958121
114.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.0495640090783214
116.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.0657552715442875
118.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.087637344812896
120.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1090134386743566
122.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1303850088396254
124.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1492841718588185
126.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1632400652610737
128.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1697818265755282
130.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1664442159490955
132.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1620000000000033
134.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1620000000000033
136.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.162001467797573
138.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.163468898417927
140.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1645679526204296
142.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1624042151418497
144.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1577935367980379
146.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.151551768404845
148.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1444888027361646
150.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1314818122861678
152.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1267371816702403
154.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1294157500492208
156.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1386783565839487
158.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1536821301691842
160.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1698779696969728
162.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1823092371794903
164.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.1926249131701663
166.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.2020644003496535
168.00199999999995,238.9,-801.9,179.2,1.232,1.178,-1.206,1.2081568362470898
170.00199999999995,238.90005,-801.90005,179.2001,1.232,1.17799975,-1.206,1.2084464189976725
172.00199999999995,239.00005,-802.00005,179.40009999999998,1.232,1.17749975,-1.206,1.215503528554782
174.00199999999995,239.1,-802.1,179.6,1.232,1.177,-1.206,1.2225602301864837
176.00199999999995,239.1,-802.1,179.6,1.232,1.177,-1.206,1.2288006730769268
178.00199999999995,239.1,-802.1,179.6,1.232,1.177,-1.206,1.23340900641026
180.00199999999995,239.1,-802.1,179.6,1.232,1.177,-1.206,1.235569379370633
182.00199999999995,239.1,-802.1,179.6,1.232,1.177,-1.206,1.2344677972028009
184.00199999999995,239.1,-802.1,179.6,1.232,1.177,-1.206,1.2330000000000036
186.00199999999995,239.1,-802.1,180.0,1.232,1.177,-1.206,1.2418973292274154
188.00199999999995,239.1,-802.1,180.0,1.232,1.177,-1.206,1.2485658774833606
190.00199999999995,239.1,-802.1,180.0,1.232,1.177,-1.206,1.235468143842491
192.00199999999995,239.1,-802.1,180.0,1.232,1.177,-1.206,1.207545853246532
194.00199999999995,239.1,-802.1,180.0,1.232,1.177,-1.206,1.169740730637208
196.00199999999995,239.04998749687422,-802.1,180.10002500625157,1.232,1.176499874968742,-1.206,1.1269945009562448
198.00199999999995,239.0,-802.1,180.2,1.232,1.176,-1.206,1.0842488891453663
200.00199999999995,239.0,-802.1,180.2,1.232,1.176,-1.206,1.0464485572092352
202.00199999999995,239.0,-802.1,180.2,1.232,1.176,-1.206,1.021462747572094
204.00199999999995,239.0,-802.1,180.2,1.232,1.176,-1.206,1.0076322178097001
206.00199999999995,239.0,-802.1,180.2,1.232,1.176,-1.206,1.010714543679629
208.00199999999995,239.0,-802.1,180.2,1.232,1.176,-1.206,1.0139768298368326
210.00199999999995,239.0,-802.0999,180.20029999999997,1.231999,1.176,-1.206,1.0071203387294232
212.00199999999995,239.0,-802.0,180.5,1.231,1.176,-1.206,0.9969240796211234
214.00199999999995,239.0,-802.0,180.5,1.231,1.176,-1.206,0.9878749669138689
216.00199999999995,239.0,-802.0,180.5,1.231,1.176,-1.206,0.9865758254259305
218.00199999999995,239.0,-802.0,180.5,1.231,1.176,-1.206,0.9922108043414579
220.00199999999995,239.0,-802.0,180.50009997500624,1.231,1.176,-1.206,1.0039640528446
222.00199999999995,239.0,-802.0,180.6000749812547,1.231,1.176,-1.206,1.0210122958770822
224.00199999999995,239.0,-802.0,180.7,1.231,1.176,-1.206,1.0351249856533562
226.00199999999995,239.0,-802.0,180.7,1.231,1.176,-1.206,1.0476045464158465
228.00199999999995,239.0,-802.0,180.7,1.231,1.176,-1.206,1.056819276532851
230.00199999999995,239.0,-802.0,180.7,1.231,1.176,-1.206,1.0611374743726687
232.00199999999995,239.0,-802.0,180.7,1.231,1.176,-1.206,1.058934860690425
234.00199999999995,239.0,-802.0,180.7,1.231,1.176,-1.206,1.056000000000003
236.00199999999995,239.0,-802.0,180.7,1.231,1.176,-1.206,1.056000000000003
238.00199999999995,239.0,-802.0,180.7,1.231,1.176,-1.206,1.056000000000003
240.00199999999995,239.0,-802.0,180.7,1.231,1.176,-1.206,1.056000000000003
242.00199999999995,239.0,-802.0,181.0,1.231,1.175,-1.206,1.0560044077983077
244.00199999999995,239.0,-802.0,181.0,1.231,1.175,-1.206,1.0648100868616157
246.00199999999995,239.0,-802.0,181.0,1.231,1.175,-1.206,1.0626030042993557
248.00199999999995,239.0,-802.0,181.0,1.231,1.175,-1.206,1.05183071255908
250.00199999999995,239.0,-802.0,181.0,1.231,1.175,-1.206,1.0349407640883412
252.00199999999995,239.0,-802.0,181.0001500750375,1.231,1.175,-1.206,1.0143807113346914
254.00199999999995,239.0,-802.0,181.3,1.231,1.175,-1.206,0.9925981067456835
256.00199999999995,239.0,-802.0,181.3,1.231,1.175,-1.206,0.9720405027688698
258.00199999999995,239.0,-802.0,181.3,1.231,1.175,-1.206,0.9551554518518027
260.00199999999995,239.0,-802.0,181.3,1.231,1.175,-1.206,0.9443905064420348
262.00199999999995,239.0,-802.0,181.3,1.231,1.175,-1.206,0.9421932189871184
264.00199999999995,239.0,-802.0,181.3,1.231,1.175,-1.206,0.9510000000000026
266.00199999999995,239.0,-802.0,181.30020000000002,1.231,1.175,-1.206,0.9510000000000026
268.00199999999995,239.0,-802.0,181.5,1.231,1.175,-1.206,0.9509941317423863
270.00199999999995,239.0,-802.0,181.5,1.231,1.175,-1.206,0.9451273411902809
272.00199999999995,239.0,-802.0,181.5,1.231,1.175,-1.206,0.9466015779092726
274.00199999999995,239.0,-802.0,181.5,1.231,1.175,-1.206,0.9537851402676601
276.00199999999995,239.0,-802.0,181.5,1.231,1.175,-1.206,0.9650463266337416
278.00199999999995,239.0,-802.0,181.5,1.231,1.175,-1.206,0.9787534353758154
280.00199999999995,239.0,-802.0,181.5,1.231,1.175,-1.206,0.9932762753516904
282.00199999999995,239.0,-802.0,181.5,1.231,1.175,-1.206,1.0084902358387557
284.00199999999995,239.0,-802.0,181.5,1.231,1.175,-1.206,1.0208744124081075
286.00199999999995,239.0,-802.0,181.5,1.231,1.175,-1.206,1.0258219006308407
288.00199999999995,239.0,-802.0,181.5,1.231,1.175,-1.206,1.0225401597144144
290.00199999999995,238.99995,-802.0,181.50005,1.231,1.175,-1.206,1.0102514825174853
292.00199999999995,238.94995,-802.0,181.55005,1.231,1.175,-1.206,1.002992741258744
294.00199999999995,238.9,-802.0,181.6,1.231,1.175,-1.206,0.995734839160842
296.00199999999995,238.9,-802.0,181.6,1.231,1.175,-1.206,0.9893034617938371
298.00199999999995,238.9,-802.0,181.6,1.231,1.175,-1.206,0.9756025436424532
300.00199999999995,238.9,-802.0,181.6,1.231,1.175,-1.206,0.975639980262861
302.00199999999995,238.9,-802.0,181.6,1.231,1.175,-1.206,0.9877569418182306
304.00199999999995,238.9,-802.0,181.6,1.231,1.175,-1.206,1.0064813257444594
306.00199999999995,238.9,-802.0,181.6001500750375,1.231,1.175,-1.206,1.0274342462606616
308.00199999999995,238.9,-802.0,181.7,1.231,1.175,-1.206,1.0496416287747623
310.00199999999995,238.9,-802.0,181.7,1.231,1.175,-1.206,1.0750318357576247
312.00199999999995,238.9,-802.0,181.7,1.231,1.175,-1.206,1.0955432238526055
314.00199999999995,238.9,-802.0,181.7,1.231,1.175,-1.206,1.0999381648545759
316.00199999999995,238.9,-802.0,181.7,1.231,1.175,-1.206,1.0881933487402256
318.00199999999995,238.899875,-802.0,181.70012499999999,1.231,1.17499875,-1.206,1.0603195279720325
320.00199999999995,238.84987500000003,-802.0,181.750125,1.231,1.17449875,-1.206,1.0389465675990721
322.00199999999995,238.8,-802.0,181.8,1.231,1.174,-1.206,1.0175778253608196
324.00199999999995,238.8,-802.0,181.8,1.231,1.174,-1.206,0.9967295500576667
326.00199999999995,238.8,-802.0,181.8,1.231,1.174,-1.206,0.9813208368238153
328.00199999999995,238.8,-802.0,181.8,1.231,1.174,-1.206,0.9757315057169245
330.00199999999995,238.8,-802.0,181.8,1.231,1.174,-1.206,0.985712202523175
332.00199999999995,238.80003335000833,-802.0,181.80003335000833,1.231,1.174,-1.206,1.0008676941423338
334.00199999999995,238.83338335834586,-802.0,181.83338335834586,1.231,1.174,-1.206,1.0140318558657753
336.00199999999995,238.86673336668335,-802.0,181.86673336668335,1.231,1.174,-1.206,1.0280094196282314
338.00199999999995,238.9,-802.0,181.9,1.231,1.174,-1.206,1.0411686837980012
