N,Label,t_asset,t_pipeline,t_inference,t_total,ID
1,OT,1.0199999962878792e-05,3.0050507999999923,0.07802959999997938,3.0830905999999345,050520239055
2,N,7.199999970453064e-06,1.5771806999999853,0.08545909999998003,1.6626469999999358,030520237055
3,NE,5.600000008598727e-06,2.4426418000000467,0.08973570000000564,2.532383100000061,030520234042
4,UT,6.499999983589078e-06,1.3636218999999983,0.09025560000003452,1.4538840000000164,1005202313030
5,NE,6.20000002982124e-06,3.014941800000031,0.08183349999995926,3.09678150000002,0505202310055
6,N,8.00000003664536e-06,1.6877739999999903,0.09423960000003717,1.7820216000000642,280420232049
7,OT,1.0500000030333467e-05,2.6340708999999833,0.09101210000000037,2.725093500000014,050520238022
8,OT,6.20000002982124e-06,2.5445205999999985,0.0854769000000033,2.6300037000000316,050520239069
9,NE,1.1099999994712562e-05,2.687344399999972,0.08179440000003524,2.769149900000002,0505202310046
10,NE,9.200000022246968e-06,2.7953497999999968,0.11619740000003276,2.911556400000052,030520236001
